baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCC10	637.061415594457	0.439220495826375	0.180539173753032	2.43282655335073	0.0149814754787987	0.043972048432559
ABCD4	167.590261296154	0.561893152437636	0.227395245850854	2.47099780092225	0.01347366472814	0.0404044388652877
ABHD12B	46.3070456545991	1.249224260197	0.422593317387207	2.95609090063386	0.00311565251354813	0.0119882449417694
ABHD14A	549.235852881702	1.07244367127766	0.302678238921275	3.54318062342301	0.000395331833794687	0.00202392839333186
ABHD17C	220.407833121586	1.30965306895257	0.231553911529832	5.65593152929244	1.55003256130618e-08	2.14419079168865e-07
ABITRAM	368.092442995582	0.537873999649147	0.201478339307632	2.66963685276303	0.00759333222376265	0.0251924403762923
ABLIM1	1122.79523906205	0.872386354646466	0.228263944937366	3.82183158573661	0.000132464146432939	0.000775537175346242
ABRAXAS1	310.105810302913	0.558659027985961	0.191370505363347	2.91925355438268	0.00350870705292826	0.0132028370509314
ABTB3	415.169935889662	2.56051093470147	0.277422298106778	9.22965079654823	2.71515623141373e-20	1.50115628017709e-18
ACAN	107.003650826823	2.79559441740233	0.534532371235271	5.22998150877539	1.6952699557938e-07	1.92438484550041e-06
ACAP1	1635.85398867669	0.855545955013869	0.185894188994131	4.60232759099791	4.17795375927276e-06	3.53347336749583e-05
ACOD1	2.67487735137748	3.92446906013387	1.57744892386684	2.48785808577162	0.0128515003822684	0.0388318062487926
ACOX3	348.093864163506	0.577643394341095	0.193526841257999	2.98482314177295	0.00283742325834495	0.0110319842843798
ACP3	49.0358916324646	1.92882790137946	0.429997367444237	4.48567374457145	7.26838891455137e-06	5.83520470940769e-05
ACP7	9.78122013726633	4.66293238345134	1.08422861727605	4.300691117309	1.70266253310322e-05	0.000124896035704317
ACRBP	25.3401387089831	1.09808899399097	0.457525035551282	2.40006318488748	0.016392242072005	0.047344896628594
ACSL5	1995.14968766475	0.496145707323273	0.150526558840645	3.29606755873903	0.00098048433863362	0.00446920876233105
ACTB	81173.1404222932	0.664802184080086	0.157520280529332	4.2204228042642	2.43844548747587e-05	0.00017221332248052
ACTR5	231.733317055254	0.653949699011001	0.206216271115713	3.17118380364881	0.00151819048369974	0.00647609643533741
ACTR8	700.948019781698	0.4129474498001	0.153496439950273	2.69027379354126	0.00713934181616701	0.0239529684971322
ADA2	1880.0884595941	1.76187467331507	0.312523327044694	5.63757812888987	1.72458368198596e-08	2.37411664972185e-07
ADAL	464.660512253974	0.537294864454053	0.185296102448344	2.89965551004419	0.00373572982520961	0.0139378048337805
ADAMTS13	469.048009993471	0.942571822079413	0.183739349378771	5.12993991361285	2.89834678419852e-07	3.13586804694411e-06
ADAT2	154.237175338567	0.916248618849257	0.204051062167791	4.49029085717685	7.11259825596009e-06	5.72812595642592e-05
ADAT3	43.6898233214715	0.873098129782722	0.331977457416869	2.62999221867755	0.00853868225759955	0.0277592478951153
ADCK5	692.333471446029	0.632620795791473	0.161798828350836	3.90992198299317	9.23259355658871e-05	0.000564125995424755
ADGRA1	12.5984304605095	1.92406953068857	0.761787623591613	2.52572957488746	0.0115458317302854	0.0356173689563373
ADGRD1	99.4331833563714	1.38760645298894	0.419526745712276	3.30755182397978	0.000941152962329691	0.00431757712364136
ADGRF3	23.4927746799275	2.95937949947664	0.715597300249869	4.13553754107694	3.54124714447804e-05	0.000240583555243199
ADNP2	337.617083487981	0.703291571404094	0.208925646642239	3.36622900398819	0.000762034166300144	0.00359514651476878
ADPRH	223.544712701312	0.669952235766792	0.201785754922655	3.32011660596947	0.000899798563259919	0.00414343899049393
ADRA1D	76.9146565272142	2.19345930384982	0.3783741691512	5.79706407752508	6.74859110573528e-09	1.00080668793734e-07
ADRB2	228.865410079451	0.859687169933975	0.200196612227546	4.29421437440132	1.75313017308328e-05	0.000127938811947692
AGA	769.352681064015	0.723785394333519	0.251808623211612	2.87434713355815	0.00404863706070215	0.0149034508823606
AGER	433.258697724504	0.731905995819915	0.231519349652815	3.16131674055527	0.00157057611777812	0.00667123878570894
AGFG2	384.084417704981	0.727822124014425	0.219199251229149	3.32036774730387	0.000898989420179032	0.00414082913301121
AGPAT2	261.928147912956	0.862616496893706	0.221414091375662	3.89594217574053	9.78177261926577e-05	0.00059322613925288
AGPAT4	316.598881799093	0.893704134017392	0.25655108118972	3.48353290842885	0.000494842281100594	0.00246684725133427
AGRP	98.0726544342356	1.26574006567879	0.254621350391312	4.97106807317436	6.6585063712347e-07	6.71907400154599e-06
AHCYL1	2422.63205717905	0.376578250524542	0.155452634540104	2.42246296847025	0.0154156968562989	0.0449576246317874
AHRR	17.6713593623479	1.60939273713172	0.627523167849408	2.56467461216976	0.0103272602050468	0.0325218273443353
AKIRIN2	443.882573813784	0.503701489127645	0.151611151234797	3.32232480939065	0.000892707099857042	0.00411633146935431
ALDH1A2	206.136528753076	3.99674693687625	0.421931235721544	9.47250783659431	2.7320424685687e-21	1.59843197030916e-19
ALDH1A3	509.626556261405	2.21242909083765	0.292832111333583	7.55528169626633	4.17954281297957e-14	1.26601612441388e-12
ALG1	301.84927185458	0.617364056738886	0.229615742431389	2.68868349444011	0.00717343982557373	0.024048478410538
ALG14	153.248458843825	0.739064751965348	0.297880374338479	2.48107903586007	0.0130985326031609	0.0394874415021002
ALG2	488.164931722547	1.20856840781166	0.296979897609675	4.06952934370023	4.71082064507736e-05	0.000310612350059829
ALG3	572.40702726982	1.24462550331162	0.25435307063653	4.89329851688792	9.9159824796066e-07	9.67623633562371e-06
ALG5	845.374833633559	0.66149577217598	0.232670107683843	2.84306299060485	0.0044682238565522	0.0161864156839138
ALG6	432.777754422308	0.840000661549131	0.169723458755981	4.94923134200815	7.45071446868376e-07	7.43070671237556e-06
ALG8	290.900333754485	0.836189254540485	0.192016593055703	4.35477601822625	1.33203045211107e-05	0.000100603042634242
ALG9	798.984477847904	0.544553123729577	0.192937860901462	2.82242749652799	0.00476615975329071	0.0171240953155034
ALKBH5	634.031435463526	0.449777049650967	0.184256496233608	2.44103767761177	0.0146451267232492	0.0432493632453319
ALKBH6	313.389703707601	0.486809171936999	0.189940230044067	2.56295978910869	0.0103784067628471	0.0326467871729846
ALPK3	113.450947554622	0.878028201966625	0.243025656169402	3.61290332801156	0.000302787612165101	0.00160149336415746
AMBN	7.31458596063458	2.28337233680874	0.839765216827829	2.71906038860965	0.00654676545097825	0.0223125440938019
AMMECR1L	1208.13199981129	0.442323862125846	0.175893222944636	2.51472941777337	0.0119123770269615	0.0365304342359739
AMT	236.314653909921	0.480154089352665	0.191915607911896	2.50190224014032	0.0123528029331425	0.0376042917515693
ANAPC16	713.4910620939	0.586446042895342	0.220650302035856	2.65780756919174	0.00786507870362395	0.0259445847794384
ANGPT2	77.470111958126	1.80555417376594	0.398614890866891	4.52957030741951	5.91037645649876e-06	4.85679997031384e-05
ANGPTL1	21.8997132418366	2.95490545173988	0.554365770945962	5.33024513165319	9.80802893484277e-08	1.17503763199757e-06
ANKFN1	24.2247258830832	1.11047876390675	0.415382125225011	2.67339082851774	0.00750887122209488	0.024986668476484
ANKMY1	53.7652916602256	1.03258129785035	0.335962027035817	3.07350597613899	0.00211559450361599	0.00858295333644634
ANKRA2	253.457902159075	0.660116468505638	0.209689305665009	3.14806931336886	0.00164352716985014	0.00692429547958565
ANKRD16	133.494441540281	0.749818026756478	0.234908878957258	3.19195268431258	0.0014131447966282	0.00609650649131217
ANKRD46	378.84072082221	0.617824781894343	0.190443777076036	3.24413216005305	0.00117809071051215	0.00522223707794228
ANKRD6	51.3262419385514	0.990327193606	0.375780098223238	2.63539021435265	0.00840406073298435	0.0273893501644992
AOC2	173.249159693614	1.80095674208227	0.313733423243141	5.74040446014751	9.44506952404815e-09	1.36283418706789e-07
AP1G2	752.262408451996	0.777490534456379	0.156008604059985	4.98363881364795	6.23995103495269e-07	6.34921521626753e-06
APBB1IP	1379.47591948622	0.543887811599113	0.145594474753865	3.73563497185305	0.000187242115754146	0.0010525976655294
APBB3	204.490107595853	0.566477635128392	0.214682792140701	2.63867275751253	0.00832312806527684	0.0271963240634077
APC	1259.66522687972	0.706347764653498	0.222387468002614	3.17620309722307	0.00149216444324904	0.00638260824949089
APH1B	495.838838988922	0.698205020721354	0.264078608983256	2.64392872792519	0.00819499098241475	0.0268411092683232
APOM	79.3941494534153	0.750389903846861	0.258912896424096	2.89823301276478	0.00375271667681268	0.0139859100581736
ARAF	1282.85645060494	0.783284441755772	0.18147975511902	4.31609818539854	1.58811361741387e-05	0.000117604391156908
ARCN1	4636.39287250675	0.632192693013743	0.203803101739682	3.10197777961812	0.00192232387113825	0.00791000045663895
ARF1	4679.32944413996	0.414440651048056	0.151417142247047	2.7370788069152	0.00619874415191548	0.021359287029311
ARFGAP1	796.598746664107	0.660886434816245	0.201989100675704	3.27189156546276	0.00106830540767009	0.00480603464429799
ARFGAP3	1132.19101676515	1.20185532562011	0.297250528531617	4.04324033184107	5.27175347113708e-05	0.000344013125671909
ARFIP1	907.844544954032	0.554674611152158	0.179147914236484	3.09618235588254	0.00196029765143831	0.00804075031864874
ARHGAP25	1327.55467789746	0.513949444095893	0.189327356378293	2.7146074076531	0.00663543794440492	0.0225501933244905
ARHGAP9	967.066153851567	0.805726249477729	0.227019956478445	3.54914282416502	0.000386487391695488	0.00198638706369607
ARHGEF1	3615.37483192189	0.516050418777878	0.190719781961838	2.70580436633017	0.00681391743677432	0.0230553693691058
ARHGEF33	13.0526719623149	3.05597129137216	0.867707609563548	3.52189062040068	0.000428480893835891	0.0021721565549829
ARID1A	3610.84783569532	0.722529461692733	0.134346362154623	5.37810961238501	7.52719868475541e-08	9.18533302359725e-07
