baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	115.595459992714	-3.56285494968067	0.36336063778138	-9.80528593145057	1.06843973431074e-22	7.02047093114025e-21
A1CF	3.6441128162183	-4.60267690279398	1.41160280015132	-3.26060340933059	0.00111175419662417	0.00496944235874603
A2ML1	13.8122882820783	-3.02980009344198	0.674947589576989	-4.48894127518976	7.157802426609e-06	5.75724560528193e-05
A4GALT	170.543798941484	-0.608943271810284	0.237705266826219	-2.56175759141032	0.0104143979652119	0.032740933264186
A4GNT	17.587070994866	-2.40992605991067	0.584200753835257	-4.12516766554921	3.70464773128408e-05	0.000250555035001018
AADAC	4.94101452124558	-2.61707923578791	1.06586598647514	-2.45535486542985	0.0140745573031398	0.0418901980778467
AADAT	38.8713483106524	-1.55621743544937	0.423022457975858	-3.67880571375759	0.000234328686852087	0.0012769605378568
AASS	22.3427927512785	-1.99178645579272	0.594772193957339	-3.34882241642854	0.000811557943181527	0.00379437764130082
AATK	377.055022849069	-1.31318436748461	0.224218481673742	-5.8567177767059	4.72104390213682e-09	7.22708907026035e-08
ABAT	133.446592252373	-1.13200689905033	0.274604895311251	-4.12231143136489	3.75089626035037e-05	0.000253482245695513
ABCA1	1668.64045572187	-1.08270894295796	0.241068677349477	-4.49128835343614	7.07936279257499e-06	5.70759008722752e-05
ABCA13	23.0872156146781	-5.09163121515306	0.854810217014612	-5.95644637114349	2.5778164964486e-09	4.1429366909998e-08
ABCA7	989.036645304854	-1.65999901816039	0.282170956319092	-5.88295492851214	4.03005700494972e-09	6.25904489750555e-08
ABCA9	76.7222325390163	-1.97179069224535	0.538739315150883	-3.66000890744926	0.00025220648091861	0.00136092720152038
ABCB10	1755.82504444575	-3.70915781597401	0.186498149459635	-19.8884430045072	5.12414205962029e-88	8.75408429465531e-85
ABCB11	8.22096550420758	-5.80367328237149	1.24540944160751	-4.66005242009439	3.16128864086125e-06	2.73732666702856e-05
ABCB6	926.544524586422	-3.69572173411838	0.319473673430816	-11.5681573834556	5.9752130144011e-31	6.54362430371977e-29
ABCC10	637.061415594457	0.439220495826375	0.180539173753032	2.43282655335073	0.0149814754787987	0.043972048432559
ABCC2	14.5199451132644	-5.92562944769408	1.07467980820411	-5.51385575727561	3.51056350324472e-08	4.56079596117359e-07
