sample_ML6	sample_ML7	sample_ML8	sample_ML9	sample_HFS211	sample_HFS212	sample_HFS213	sample_HFS214
A1BG	1.26714	1.41182	0.692939	0.340471	10.23977	13.4346	13.828775	11.075463
A1CF	0.0471034	0	0	0	0.35774	0.33395	0.367404	0.304518
A2ML1	0.0181376	0.158262	0.0356902	0.0379283	0.458811	0.694467	0.333839	0.387489
A3GALT2	0	0	0	0	0	0	0	0
A4GALT	8.39564	11.1852	8.13837	8.85438	15.9898	16.2017	12.6147	10.9284
A4GNT	0.299421	0.582109	0.786619	0.610771	2.78336	4.89832	1.87092	3.05953
AAAS	37.4149	45.1196	26.4005	28.9175	40.1762	38.2785	36.9043	28.4361
AACS	15.8103	22.1828	14.7695	22.184	22.1437	19.2483	20.4629	17.6468
AADAC	0.237836	0.0577227	0	0.0613874	0.376441	0.386371	0.6443	0.707348
AADAT	0.777094	1.357015	0.923577	0.492734	1.731278	3.843448	2.549607	2.27664
AAGAB	19.80075	21.90787	14.94528	18.76071	19.40472	22.76357	19.9533	20.04544
AAK1	1.1955	2.05875	0.80182	2.54055	0.681849	1.3251	0.840107	1.33058
AAMDC	7.602976	16.933636	5.876344	10.464939	14.159047	17.490622	8.551177	7.317868
AAMP	95.60925	155.3056	88.32182	122.09358	125.70297	117.4107	103.53672	116.77639
AAR2	15.991	25.8914	13.8667	19.0245	15.8781	15.3616	13.1721	13.6209
AARS1	74.6336	60.8649	70.0874	69.4609	66.0183	68.734	59.0942	66.181
AARS2	7.68065	9.85591	6.36173	8.11953	9.29127	9.02824	9.58636	7.42037
AARSD1	27.1197	26.3776	16.1167	21.0842	23.1695	19.5119	20.1897	21.79
AASDH	7.655912	11.4523	6.352523312821	8.7126254606	5.166273	7.106054	6.016308	8.088865
AASDHPPT	33.8934	55.2461	20.4954	35.6231	22.61703	52.8934	20.269600005292	44.849704
AASS	0.106953	0.47398	0.0601276	0.0639574	0.425116	0.646266	0.428965	0.750123
AATF	8.38348	8.05068	5.53309	7.115	5.4512	7.07214	3.94475	7.43434
AATK	3.790474202	5.07055705518	4.2782700367747	4.7906265605	10.77077449643	9.85029	12.83601652	9.5473300224309
ABAT	4.45465	7.30511	2.21778	4.98168	7.25981	14.8426	7.342797	10.3848
ABCA1	10.85303	12.42766986	5.250050403691	6.6955581	15.6662563098943	15.6181997437247	14.2482595	24.801023
ABCA12	0	0	0	0	0	0	0	0
ABCA13	0	0.00604101	0	0.0327069	0.197036	0.419918	0.168631	0.404729
ABCA2	6.451665	8.28812	5.04913	8.99453	6.01138	7.07928	5.46422	5.53299
ABCA3	2.71542	1.83175	2.21703	1.83169	1.78785	2.22669	2.30297	1.65757
ABCA4	0	0.0113324	0.0230028	0.0122482	0.0295689	0.117665	0.0452376	0.0124645
ABCA5	6.47295	2.479779	8.2785000010572	3.452549	1.26495800022684	3.797304884	2.529365542	6.028174
ABCA6	1.05084	1.34787	1.06567	2.0804	0.531616	1.51441	2.28555	2.12287
ABCA7	5.22717	5.80887	6.30733	5.68881	15.2323	15.1212	27.6215	14.2332
ABCA9	0.431267	0.585298	0.325286	0.466492	0.303095	2.21469	1.10873	4.0919
ABCB1	9.706407	16.420091	9.52377	12.9201787	8.326494	15.448188	6.1315343651	17.2941925
ABCB10	5.49594	6.69424	3.62954	4.65918	50.7725	86.8285	61.692	61.4539
ABCB11	0	0.018562414	0	0	0.4116314	0.2122141	0.315391	0.3272806
ABCB5	0	0	0	0	0	0	0	0
ABCB6	3.56937	3.84327	3.92723	4.01358	52.0204	37.3055	71.9827	32.0082
ABCB7	9.66304	13.3501	6.74999	8.84294	10.2516	13.4619	9.7226	13.0268
ABCB8	10.2515	13.8135	8.40211	10.0464	13.8763	11.2726	14.3429	9.33328
ABCB9	4.11151	2.24277	2.939992	3.653282	3.808057	3.452024	3.41614	3.01663
ABCC1	6.0868819	18.049041	6.799364	16.14417	10.90915	10.51299	9.079181	9.12183000019737
ABCC10	12.1099	15.8943	8.84991	12.9131	8.99603	9.40615	9.31402	7.58127
ABCC11	0.0387658	0.0563784	0	0.0405169	0	0	0	0.0207124
ABCC2	0.0333767	0	0	0	0.485455	0.689246	0.371712	0.445468
ABCC3	0.634871	1.14086	1.29492	0.22685	0.293756	0.499039	0.509717	0.297496
ABCC4	9.49188340028	7.34617	3.50919	6.696953	8.1251	6.01002	4.99809	7.06887
ABCC5	5.198939147167	13.57288	6.034277	7.98198104635	10.7625113681024	9.36675	14.884184	9.506684
ABCC6	0.0844476	0	0.0830841	0.282656	0.277696	0.476395	0.245354	0.757452
ABCC8	0	0.0159307402	0	0	0.08312645	0.16551098	0.19094343	0.2980785
ABCC9	2.57522	3.03412	3.53803	2.10524	1.34753	3.06071	1.15952	3.28937
ABCD1	13.9436	19.9944	11.0986	17.6206	22.2869	18.6368	20.4344	18.5572
ABCD2	0.491577	0.0866647	0.175885	0.209992	0.904466	0.720995	0.628313	1.2427
ABCD4	5.894466	10.57262	6.023005	8.192342	3.586194	5.18714	5.95105	5.38452
ABCE1	58.021211	69.0214	53.07202	56.76347	48.37132	92.82179	42.02796	87.04818
ABCF1	48.8291	64.8792	33.8165	51.6975	64.0899	68.18	52.3615	64.14
ABCF2	37.888089	46.89765	29.092342	38.771041	54.0252	52.149839	43.01711	49.6049
ABCF3	28.2929	39.6657	27.8125	31.7832	34.8116	31.7119	30.7661	31.9335
ABCG1	36.04813	46.12371	22.17182109	31.0818	47.9715	37.71454	47.39401	48.00946
ABCG2	1.98512	2.00298	2.307326	1.85571	92.230172	65.982341	91.2255	49.0864
ABCG4	0.248267	0.140419	0.0610683	0.194533	21.8513	13.9941	28.1549	9.62069
ABCG5	0	0.0408581	0.0828948	0	0	0.0426122	0.0820235	0.226526
ABCG8	0	0.0410829	0	0	0.214357	0.342785	0.206196	0.0911147
ABHD1	0.207641	0.100953	0	0.105782	0	0	0	0
ABHD10	6.50468	7.09589	3.73235	6.309557	4.09583	11.38742	4.59273	10.24248
ABHD11	3.64603	5.33702	3.22929	4.51908	3.69072	4.55774	5.28351	4.12552
ABHD12	40.182	47.0702	34.2578	41.6735	35.0834	31.9886	45.8914	37.1629
ABHD12B	1.93222	6.75995	2.91088	4.02567	0.85171	1.53915	2.248	1.78856
ABHD13	21.2937	19.4654	15.3315	17.607	15.624	22.5903	12.0438	26.6998
ABHD14A	59.49465	51.64254	90.54987	61.15804	24.9641	42.0726	22.70507	36.66825
ABHD14B	8.31239	12.1479	9.6745	10.8887	9.77958	14.2673	14.9279	13.231
ABHD15	0.612344	0.457099	0.695482	1.02511	8.70502	5.15238	9.78214	4.2125
ABHD16A	53.8726	66.8181	49.7717	66.9477	66.8472	67.6987	88.0564	70.0961
ABHD16B	0.116491	0.339256	0.0573436	0	0	0	0.113862	0
ABHD17A	109.027	124.02	90.4348	88.854	118.796	99.491	98.9849	88.9213
ABHD17B	12.7374	16.5212	8.51626	11.8709	7.40244	10.2161	6.42329	11.5652
ABHD17C	12.6105	16.6644	13.959	12.3655	5.19627	6.41986	5.68224	5.12938
ABHD18	16.6779	23.764	13.037	19.2719	30.2979	32.8442	37.8751	27.9027
ABHD2	19.7257700001951	24.49542	14.0585500058624	26.71011862	17.599124	24.939373	15.453643	23.372964
ABHD3	20.5364	20.122	14.5691	14.6103	18.219	19.8295	14.6492	25.015
ABHD4	63.7453	73.9252	48.8199	65.9849	102.917	71.0698	116.792	67.6008
ABHD5	7.88985	5.0435	6.0854	5.69114	4.99601	11.0244	3.283	9.5464
ABHD6	10.8606	19.6017	8.56712	11.1555	15.1596	13.8534	12.3212	15.326
ABHD8	9.5927	16.578	9.53214	15.4392	18.3864	18.1313	24.7104	13.0866
ABI1	25.82394619	31.838533821861	17.254839694085	24.3550359312	20.3044330017867	32.964172	18.783885696	36.0211080065545
ABI2	0.993671	2.4228333	1.145905	1.01493296298542	1.4198746144064	4.2721412	2.51261759186884	3.572015
ABI3	31.34494	63.96138	21.747826	41.91041	68.60204	63.26452	43.1719	60.78991
ABI3BP	1.03697	2.58676	1.06098	1.75154	3.35721	14.3522	3.18471	19.426
ABITRAM	17.7665	20.7991	16.1607	18.458	11.4378	17.2477	9.45632	12.8437
ABL1	19.38697463	28.61082097	17.93564486	24.5957	29.42573	30.17528	20.541663	19.2456158545
ABL2	6.39931000182063	8.02856102	5.267862387	6.9207760284148	10.480490891453	8.790388	8.852846430465	7.659861
ABLIM1	60.624868	96.260133	31.331798	68.650023	43.89671	40.428716	17.455694	34.310642
ABLIM2	0.670017	1.710706	1.037955	1.34668	1.5302402	2.117144	1.788983	2.39618
ABLIM3	1.52179696	0.9537039508	1.832987165	1.40395022	0.885274074	1.320430171	1.39296	1.907370123101
ABR	27.866736	38.49088	19.733481	29.4948205559	38.75661	31.030573	32.60338	37.563079
ABRA	1.05598	1.16856	0.561277	1.19306	0.849736	0.926909	0.686731	0.685639
ABRACL	104.11278	186.6624	62.2099	87.45089	67.923	106.80237	71.27309	138.45695
ABRAXAS1	10.7556	13.3322	7.08739	7.21201	6.67988	7.43741	4.41423	6.92699
ABRAXAS2	21.2736	28.2834	19.0659	16.7198	22.3246	24.2275	21.9778	23.5582
ABT1	36.5335	53.902	32.6225	35.6322	46.618	49.8718	40.5472	44.451
ABTB1	33.4728	57.0492	32.9975	49.8542	95.012	77.1821	145.275	68.2725
ABTB2	2.03357	2.35859	3.47803	3.95335	1.65866	2.62392	1.34427	1.70575
ABTB3	9.244705	12.536261	8.637696	8.645127	0.762731901	1.982024	1.50977	2.48922
ACAA1	57.6163	65.7737	43.419	55.8162	58.0185	51.2622	58.4148	68.0133
ACAA2	49.8392	51.3374	30.6725	55.7594	123.885	108.586	95.1468	115.695
ACACA	7.15701521015	8.44558213595679	4.6992828321159	8.35799844	8.23697243980995	6.4887389252	7.1706282681	5.1628712329197
