pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_N_GLYCAN_BIOSYNTHESIS	7.12398892568504e-09	9.96116109010159e-07	0.761460801	0.691865637	2.494852645	44	"c(""ST6GAL1"", ""ALG6"", ""ALG3"", ""DDOST"", ""DPAGT1"", ""STT3A"", ""ALG8"", ""ALG2"", ""B4GALT1"", ""RPN1"", ""MAN1B1"", ""RPN2"", ""MAN2A1"", ""MGAT1"", ""DAD1"", ""MOGS"", ""GANAB"", ""MAN1C1"", ""MGAT2"", ""MGAT4A"", ""ALG5"", ""ALG9"", ""B4GALT3"", ""DPM3"", ""ALG1"", ""FUT8"", ""RFT1"", ""ALG14"")"
KEGG_PROTEIN_EXPORT	2.17636293021294e-06	5.35147435209379e-05	0.62725674	0.760916858	2.287615359	22	"c(""SEC61A1"", ""SRP72"", ""SEC11C"", ""SEC61B"", ""SPCS1"", ""SEC61A2"", ""SRPRA"", ""SRP19"", ""SPCS2"", ""SPCS3"", ""SRP68"", ""SRP14"", ""SEC11A"", ""SRP9"", ""SRP54"", ""OXA1L"", ""HSPA5"", ""IMMP1L"", ""SEC63"", ""SEC61G"")"
KEGG_PRIMARY_IMMUNODEFICIENCY	8.13083552206463e-05	0.00108024	0.538434096	0.619439278	2.028121271	30	"c(""IL2RG"", ""TAP2"", ""CD4"", ""CD79A"", ""TAP1"", ""LCK"", ""RFX5"", ""ICOS"", ""JAK3"", ""RFXANK"", ""TNFRSF13C"", ""CIITA"", ""CD40LG"", ""CD8A"", ""CD8B"", ""IL7R"")"
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.000151515	0.001657755	0.518848078	0.599874908	2.019021037	33	"c(""IFI30"", ""TAP2"", ""CD4"", ""TAP1"", ""CD74"", ""LTA"", ""RFX5"", ""TAPBP"", ""PDIA3"", ""CALR"", ""B2M"", ""PSME2"", ""HSPA2"", ""RFXANK"", ""CIITA"", ""PSME3"", ""PSME1"", ""CD8A"", ""HSPA5"", ""CD8B"", ""LGMN"")"
KEGG_OXIDATIVE_PHOSPHORYLATION	0.001237213	0.007867966	0.455059867	0.408338897	1.66185554	84	"c(""NDUFAB1"", ""ATP5F1D"", ""NDUFA7"", ""ATP5MC2"", ""NDUFB1"", ""NDUFA1"", ""NDUFC1"", ""ATP5MF"", ""ATP5MG"", ""NDUFA4L2"", ""ATP6V0A2"", ""NDUFA6"", ""PPA1"", ""NDUFB8"", ""NDUFB5"", ""NDUFV2"", ""NDUFV3"", ""ATP6V1D"", ""ATP6V0D1"", ""ATP6V0E1"", ""ATP6V0E2"")"
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.000220491	0.002158495	0.518848078	0.39532153	1.651754633	103	"c(""MAP3K8"", ""CD247"", ""LAT"", ""PIK3R5"", ""CTLA4"", ""PDCD1"", ""ITK"", ""CD4"", ""FYN"", ""LCK"", ""MALT1"", ""NFAT5"", ""NFKBIA"", ""ICOS"", ""CD28"", ""IKBKB"", ""NFATC3"", ""TEC"", ""IL4"", ""CBL"", ""RAF1"", ""PLCG1"", ""PAK2"", ""PIK3CD"", ""HRAS"", ""PPP3CC"", ""JUN"", ""MAP2K2"", ""CD40LG"", ""CD8A"", ""CD8B"", ""NRAS"", ""RASGRP1"", ""PPP3CB"", ""DLG1"", ""IL2"", ""PRKCQ"", ""MAP2K1"", ""MAPK3"", ""GRB2"", ""LCP2"", ""TNF"", ""CHUK"", ""MAP3K14"", ""AKT2"", ""RHOA"", ""MAPK1"")"
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.007265103	0.029376287	0.407017919	0.466313971	1.630367278	38	"c(""STING1"", ""IL33"", ""POLR3K"", ""NFKBIA"", ""IKBKB"", ""IKBKE"", ""RIGI"", ""CCL4"", ""POLR3D"", ""TREX1"", ""RIPK3"", ""POLR3GL"", ""IL6"", ""ADAR"", ""POLR3G"", ""CHUK"", ""POLR3B"", ""POLR3F"", ""CXCL10"", ""NFKB1"", ""ZBP1"", ""CCL5"", ""RELA"")"
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.027262932	0.090551881	0.352487858	0.588536888	1.629470844	16	"c(""CTLA4"", ""PRF1"", ""TSHB"", ""CD28"", ""IL4"", ""TG"", ""CD40LG"", ""IL2"", ""CD40"")"
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.000961338	0.006877261	0.477270815	0.353433303	1.526639482	121	"c(""IL2RG"", ""IL13RA2"", ""IL2RB"", ""STAT4"", ""IL6R"", ""PIK3R5"", ""IL9R"", ""CISH"", ""CCND2"", ""IL21R"", ""IL4R"", ""SOCS1"", ""IL12RB1"", ""IL11RA"", ""IL15RA"", ""PIAS2"", ""STAT3"", ""SPRED2"", ""IL4"", ""CBL"", ""IL2RA"", ""IL23A"", ""JAK3"", ""STAT2"", ""IL23R"", ""IL21"", ""PIAS1"", ""LIF"", ""PIK3CD"", ""IL12RB2"", ""JAK1"", ""CNTF"", ""IFNAR1"", ""IL15"", ""STAM2"", ""SOCS7"", ""TYK2"", ""STAT1"", ""IL7R"")"
KEGG_RIBOSOME	0.004747735	0.021538504	0.407017919	0.362285937	1.469498035	85	"c(""FAU"", ""RPS17"", ""RPL32"", ""RPL38"", ""RPL31"", ""RPL13"", ""RPS11"", ""RPL36AL"", ""RPL26L1"", ""RPL9"", ""RPS27"", ""RPS18"", ""RPL17"", ""RPS21"", ""RPL39"", ""RPL18"", ""RPL27"", ""RPL7"", ""RPS7"", ""RPS8"", ""RPL11"", ""RPS28"", ""RPS6"", ""RPL34"", ""RPL30"", ""RPS15A"", ""RPL37A"", ""RPS27L"", ""RPS25"")"
