baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A2M	11.1333981108557	-2.7632984478215	0.732935653370933	-3.77017878051433	0.00016313064542428	0.000430397760482557
A2ML4	72.7979104331106	-0.569917634758954	0.240440874409829	-2.37030262079123	0.0177735310469378	0.0343526176302936
AAED1	96.4123105852212	-1.34733298549922	0.221363817596007	-6.08650953046953	1.15398791583553e-09	4.69968162329741e-09
AAREL	150.983129741494	-1.30240796933165	0.189222038415465	-6.88296130957018	5.86209533006602e-12	2.72243217285984e-11
AASS	980.720651375204	-0.315019178580561	0.0788079483647301	-3.99730211377442	6.40685106637397e-05	0.000177797780789325
AATK	626.171167643621	-1.57765136214282	0.104573368727423	-15.0865500589837	1.98556215467046e-51	2.8951492869776e-50
ABCA1	2721.9270197224	-0.556702330054849	0.0713249899732239	-7.8051511856341	5.94302574842261e-15	3.21394399448495e-14
ABCA2	1284.23385474473	-1.66660976909207	0.0809120617743574	-20.5977913866515	2.87247855061807e-94	8.13803963865742e-93
ABCA4	15.7771244839291	-1.91123065664524	0.547332223631025	-3.49190231111565	0.000479593615988178	0.00119128178703702
ABCA5	584.981517210339	-1.04626919996424	0.099468523617957	-10.51859585232	7.09226248826094e-26	5.6694655725455e-25
ABCA9	1029.98817342952	-1.07163938705819	0.072672061344498	-14.7462362733615	3.25307658147684e-49	4.54951366518663e-48
ABCB10	429.430348410453	-1.00260900191003	0.108967268299708	-9.20101070307104	3.5459853786928e-20	2.36172806083272e-19
ABCB6	105.827368215899	-0.46926330212048	0.20577704967784	-2.28044528218841	0.02258129256251	0.0427972577566678
ABCB8	1048.32357277888	-0.217089671678909	0.0876033881010946	-2.47809675384229	0.0132085321840101	0.0261490615342876
ABCC10	642.828405031506	-0.329111865078427	0.0882791061820235	-3.72808334057923	0.000192941578204976	0.000504649900152811
ABCC13	339.134338214532	-0.994187397020359	0.116120222093519	-8.56170767757986	1.11207875916449e-17	6.74417789467167e-17
ABCC5	7136.65457591093	-0.221180450552768	0.0552917239228159	-4.00024515172512	6.32768984073932e-05	0.00017569436685457
ABCC6	351.153921803514	-0.674684156134243	0.112789223530906	-5.98181399794252	2.20666175008648e-09	8.84528649295562e-09
ABCC8	1077.09839673836	-6.10610017351288	0.152587629329618	-40.0170066232732	0	0
ABCC9	1009.14308196273	-3.79408621083775	0.0975258033886857	-38.9034089339059	0	0
ABCD2	771.178802539321	-0.944719469849542	0.0889752110379278	-10.6177828501787	2.46342568467684e-26	1.99907999596006e-25
ABCD4	267.41207782633	-0.554928175849934	0.128777309305826	-4.30920772332697	1.63840427479942e-05	4.82372832174449e-05
ABCG1	1487.85990559668	-0.753966051348697	0.0666010869797649	-11.320626817664	1.03727578099084e-29	9.32342587476917e-29
ABCG2	200.057811593101	-1.24734634909964	0.148650954001069	-8.39110894028081	4.81577820894314e-17	2.84451057999244e-16
ABHD1	473.060939499742	-0.449382146836643	0.109301570015138	-4.11139699799742	3.93272314196286e-05	0.000111357823710584
ABHD17B	685.232661441539	-0.288160741784494	0.0952097783141631	-3.02658767709396	0.00247331080494566	0.00553512643164688
ABHD18	1611.04086197945	-0.199760947540621	0.0737721223844776	-2.70781077030058	0.00677286273233668	0.0141629818579059
ABHD6	458.519435997493	-0.545332473221375	0.104973516124806	-5.19495291148498	2.04771664569732e-07	7.13556801771696e-07
ABI1	3289.72169347038	-0.405585867750841	0.0518225444201245	-7.82643678131207	5.01891504369371e-15	2.72194665226817e-14
ABI3BP	513.896675946595	-1.54174948422855	0.0986163917727143	-15.63380546088	4.28433874590218e-55	6.63135604258248e-54
ABLIM3	161.306389943848	-2.12478136158914	0.182332620189972	-11.6533254410282	2.20675947531474e-31	2.07181375200412e-30
ABRACL	1545.01001456951	-0.204214145273846	0.083221980683215	-2.45384865389336	0.0141336452574035	0.0278301125023185
ABTB1	2011.95153808823	-0.689165421945195	0.0620472890922893	-11.107099633638	1.1586178675457e-28	1.01010192377262e-27
ACAA2	1517.59435043483	-0.374839774150147	0.0682517951458858	-5.49201340930213	3.97377212593508e-08	1.45642201140117e-07
ACAD11	198.267215338654	-0.508898837867039	0.148009251381521	-3.43829073599771	0.00058539880762642	0.0014371695594638
ACAD6L	305.14852700102	-0.506331647193862	0.122056941306367	-4.14832324794175	3.34919280483596e-05	9.5482176085438e-05
ACADL	1550.46805321824	-0.712374001335145	0.0641665368742783	-11.1019549446918	1.22729579691745e-28	1.06863787488058e-27
ACAP3	458.293947513708	-0.883559481235501	0.104144308736354	-8.48399199107718	2.17596744241655e-17	1.30295956976363e-16
ACBD7	116.732680146933	-1.60680135295758	0.192250046136569	-8.35787239195852	6.38594667364351e-17	3.74967847428786e-16
ACER3	1459.54449504607	-0.706126187056834	0.065271760570913	-10.8182494371311	2.82114271588422e-27	2.36188692492632e-26
ACHRB	209.778275038596	-2.14940575414392	0.16379731559305	-13.1223503044706	2.45210360476178e-39	2.79018655408316e-38
ACO1	2132.7251581111	-0.192314760063879	0.0619523560570699	-3.10423642139971	0.00190770822551467	0.0043447805136067
ACOT2L	257.523330201181	-0.537009232828117	0.143066321593804	-3.75356846283362	0.000174334888888941	0.000458155625417727
ACOT4	198.846416454475	-0.897106921777998	0.157525116277037	-5.6950087895842	1.23365565542248e-08	4.70049819073383e-08
ACOX1	1344.22393383722	-0.549049525238416	0.0652088661232931	-8.41986002640047	3.76934383224357e-17	2.2346365479059e-16
ACOX3	201.939613787037	-0.349471528674599	0.146275247894374	-2.38913646502211	0.0168880281153427	0.032802049027754
ACSF2	1793.89666328829	-1.67857818522068	0.0757375312127007	-22.1630961340233	7.79992822164663e-109	2.63531555449809e-107
ACSS1	776.614902130493	-1.19902155724345	0.0845960233362511	-14.1734978779983	1.33672887458228e-45	1.72609145957193e-44
ACSS3	115.169598492741	-2.27168275736062	0.207554323182268	-10.9450033250606	7.02151518079881e-28	5.97186301324151e-27
ACTA2	2666.11219956511	-2.35311068154441	0.0633273691912636	-37.1578783643682	3.27083624247496e-302	7.18895376240813e-300
ACTB	118217.025178634	-0.171933427605473	0.0450706266218485	-3.8147556511257	0.00013631775004023	0.000363282019252074
ACTN2	11.6824094481451	-1.97972569453611	0.618053869865349	-3.20316042186973	0.00135928239681636	0.00316443488075879
ACVR1C	31.5347545948028	-1.04134939549218	0.359819939274869	-2.8940847402475	0.00380265521889729	0.00826388852732883
ACVRL1	1217.08438038791	-1.47878639399855	0.0815100600575039	-18.1423789033561	1.47505944900049e-73	3.11103447425559e-72
ADA	1606.06790214	-0.228200081908227	0.0693868889113396	-3.28880694160843	0.00100613011378394	0.00239168969112883
ADAM10	6763.3109410794	-0.273592297596658	0.0531052098118626	-5.15189184951763	2.57871741767065e-07	8.91303090232794e-07
ADAM12	131.743392205663	-1.04954461455605	0.20407436326476	-5.14295180328161	2.70455024191663e-07	9.33868183416888e-07
ADAM19	75.3186574268346	-2.1082361699141	0.251590113535946	-8.37964632347482	5.30869810739199e-17	3.1268156976684e-16
ADAM23	1052.4252157628	-1.67902478749734	0.082086409044007	-20.4543578778943	5.494085707365e-93	1.52345962244065e-91
ADAM33	3949.39158212963	-0.570375524393716	0.0559691510598831	-10.1908911175632	2.17758899248106e-24	1.66488678736743e-23
ADAM9L	6.52324214330274	-2.33972423951888	0.898187219788446	-2.60494047117478	0.00918902236834714	0.018746144313736
ADAMTS1	2623.83731462838	-0.347415556161484	0.0553793466797004	-6.27337765775468	3.532985551248e-10	1.48073770473252e-09
ADAMTS13	233.154579902454	-1.55348128113123	0.139945914213928	-11.1005833207571	1.24627811742678e-28	1.08381037450526e-27
ADAMTS14	193.276664877144	-2.14653417407161	0.159862177103877	-13.4274048618568	4.17797827950119e-41	4.91748514520771e-40
ADAMTS15	195.829125675135	-1.20337992539786	0.15388007136982	-7.82024543324897	5.27204448976833e-15	2.85848582047164e-14
ADAMTS3	1974.29107060133	-4.77605656210885	0.0876140317726135	-54.512461822374	0	0
ADAMTS8	411.353139060718	-1.61823026822678	0.11082943775503	-14.6010870487642	2.7640273101474e-48	3.78942155192894e-47
ADAMTS9	1390.84701707295	-1.7764195623096	0.0685701209657842	-25.9066126366616	5.60988680916505e-148	2.96542877405991e-146
ADAMTSL3	59.8201707711393	-0.730842209358459	0.256495636372183	-2.84933583937461	0.00438106079683374	0.00943835631839543
ADAP2	509.912633801312	-0.399991581797558	0.10394245241908	-3.84820227432055	0.000118987790409671	0.000319586450187024
ADARB2	11.8418274600192	-7.30419576092832	1.29641705262783	-5.63414045358534	1.75933595648168e-08	6.61056951076794e-08
ADAT1	1476.89390457269	-0.463064551036936	0.0643225986401443	-7.19909582054623	6.06131459116454e-13	2.96613129758069e-12
ADCY1	57.7386422471772	-2.06208044860217	0.292145080091594	-7.05841237495995	1.68415643133765e-12	8.01577075138596e-12
ADCY5	379.003033499559	-1.34004020819301	0.112941042433622	-11.864953424532	1.80002631745337e-32	1.73922024564676e-31
ADCY7	4076.76534918099	-0.22929169282578	0.0671847692462898	-3.41285227884358	0.000642867789152603	0.00156884986413118
ADCY8	21.5975141415969	-1.70331886034767	0.445707132213177	-3.82161006015266	0.000132583218273824	0.000353916849598242
ADCY9	1094.61465894283	-0.767982595148939	0.0746143955479212	-10.2926866794183	7.60249503156794e-25	5.88798576628852e-24
ADD2	142.025231652983	-3.59687854603112	0.229480377998542	-15.6740135143667	2.27733289684016e-55	3.54327204813879e-54
ADD3	5618.85693356498	-0.798285714174904	0.0584544995977609	-13.6565314846264	1.84567800275473e-42	2.22504368923318e-41
ADGRA1L	350.275303518013	-4.03510973517075	0.161171610924531	-25.036107240128	2.47368876527299e-138	1.17923793193836e-136
ADGRA2	445.597739377867	-0.556660709665431	0.10573090015363	-5.26488196786925	1.40279453346896e-07	4.95103952989044e-07
ADGRB1	73.2941653823463	-2.49654915035217	0.269545945201094	-9.26205418705011	2.00536372831043e-20	1.34723277500392e-19
ADGRB2	40.2463083906983	-0.884532261981208	0.334131103698508	-2.64726106666004	0.00811466807107566	0.0167507928150331
ADGRD2	101.431930566936	-2.67484148493464	0.234030501603141	-11.4294567016334	2.9796726116375e-30	2.71802377155924e-29
ADGRF5	385.878434996449	-1.04139625599602	0.110398400014768	-9.43307381136611	3.98243811929966e-21	2.73891001090174e-20
ADGRG2	214.107219189726	-0.644810500364701	0.146535258393218	-4.40037781647331	1.08062561199506e-05	3.2386196036252e-05
ADGRG3	90.5505213272532	-1.507438074605	0.215546441819748	-6.9935651077256	2.67987408225122e-12	1.26425148751481e-11
ADGRG6	971.742791357282	-1.3615166745985	0.0962333258654604	-14.1480787695312	1.91929449580509e-45	2.46766435174941e-44
ADGRL2	729.806102310919	-0.241652236582966	0.092010209905679	-2.62636327893053	0.0086302655220997	0.0177100682163579
ADGRL4	809.725162593434	-0.908683303760842	0.0837737638846389	-10.8468721187238	2.06367015778697e-27	1.73537788540443e-26
ADGRV1	17.3371956300605	-1.71209456270682	0.525869756200167	-3.25573878801869	0.00113097749166143	0.00266532844536011
ADHFE1	97.5880718841005	-0.623962526665345	0.209678974987116	-2.97579920306118	0.00292226131566028	0.0064773690308903
ADI1	865.169539500982	-0.421022693033309	0.0801509413772254	-5.25287271489167	1.4974502679293e-07	5.27264107830756e-07
ADM2	146.268038754934	-0.460295690143596	0.184894281275516	-2.48950744700263	0.0127920238606873	0.0253991496967622
ADNP	6860.41616033049	-0.140653553334599	0.0493698749016394	-2.84897528330436	0.00438602877256119	0.00944808426401297
ADORA2A	2327.95536705029	-2.43697591316839	0.0647733476957755	-37.6231274105867	0	0
ADORA2B	107.085870146873	-0.880351650282436	0.196826917152442	-4.47271980387014	7.72309473429913e-06	2.34895383941806e-05
ADORA3	125.229032644835	-1.57212019813202	0.205922646075491	-7.63451824310612	2.26666394283397e-14	1.19364295400689e-13
ADPRH	1873.27648189785	-0.193292985600774	0.0748506143227529	-2.58238342263034	0.00981205056845761	0.0199179093787084
ADPRHL	113.84269516239	-1.92699190387076	0.265398029402179	-7.26076191376176	3.84915944200051e-13	1.90225915145493e-12
ADRA1B	450.616526189081	-6.38816005088326	0.249417208884258	-25.6123467961975	1.11150467497721e-144	5.6467682757966e-143
ADRA1D	47.886500715502	-4.28270687019293	0.462176043913114	-9.26639735355485	1.92539454865613e-20	1.29392462748439e-19
ADRA2B	92.722344873343	-1.99004155080384	0.233646958893557	-8.51730131745668	1.63314194253581e-17	9.81295072234469e-17
ADRA2BL2	6.16783981880141	-6.22661570096737	1.38865814276822	-4.48390824868885	7.32881846010622e-06	2.23427842673409e-05
ADRA2C	54.2441640968363	-1.960605386275	0.309852456545388	-6.32754507785483	2.49092217013228e-10	1.05562116728967e-09
ADRB1	62.7114687837191	-2.72817280464877	0.29809178240037	-9.15212349257095	5.58252202536504e-20	3.68987210793359e-19
ADRB2	730.712211830246	-1.92027988077697	0.0884347161133702	-21.7140956082817	1.5098539231278e-104	4.8278330650702e-103
ADSSL1	693.508778442593	-0.935195913752381	0.0886165517249169	-10.5532871179124	4.9050407910589e-26	3.94975903267681e-25
ADTRP	31.7264405464407	-2.34541926159986	0.409575440087148	-5.7264646071083	1.02545143512309e-08	3.92798128148415e-08
AEBP2	1168.8370574706	-0.479912223346716	0.072115068069159	-6.65481204131258	2.8366232486193e-11	1.26746615517164e-10
AES	2146.20137777747	-0.877481361827522	0.0868198784219195	-10.1069176526972	5.14784288706705e-24	3.88179701993355e-23
AFAP1	303.283057683532	-0.984476573556206	0.124813225741201	-7.88759819089612	3.08057749709267e-15	1.68692520690519e-14
AFAP1L1	403.899982781364	-2.65450511215048	0.121994332700843	-21.7592494125109	5.64650028868646e-105	1.81662443802424e-103
AFAP1L2	1613.19770739874	-0.553396192337243	0.0654907473052512	-8.44999049648759	2.91326535478447e-17	1.73747445323907e-16
AFDN	1775.24938654716	-0.408053296700278	0.0623112682380527	-6.54862769188648	5.80681945580870e-11	2.5455887095798e-10
AFF1	787.873930668605	-0.271114696373283	0.0864836630512301	-3.13486601755852	0.0017193261834333	0.00394327006920995
AFF4	3896.05007690198	-0.322326323534074	0.0508713247872676	-6.33611027198465	2.35638170442784e-10	9.9961905705919e-10
AGA	1025.35483569135	-0.286483649712169	0.0734763545660535	-3.89899106187456	9.65943398282468e-05	0.000263127825022678
AGAP1	1675.60561103117	-1.17293781486494	0.063877630198463	-18.3622625200827	2.63400742243391e-75	5.72300468058481e-74
AGBL1	41.1560968816721	-4.09466999107722	0.46922576530715	-8.72643894223689	2.62817140153486e-18	1.63224922260702e-17
AGBL4	187.328115403046	-1.24762590728392	0.166202112016131	-7.50667901959532	6.06461837717068e-14	3.12125293850934e-13
AGL	1186.66441880616	-0.608981246160986	0.0731031909262711	-8.33043316501984	8.05470966402374e-17	4.70835212163538e-16
AGO1	1089.94795526436	-0.260269984438574	0.0751285061046216	-3.46433062406605	0.000531552760489394	0.001313625475088
AGPAT3	897.65413180296	-1.5115529408904	0.0815519894137614	-18.5348383498212	1.08114135178631e-76	2.40151398141469e-75
AGPAT4	594.679260416427	-1.05271955379059	0.090569120032762	-11.623382819771	3.13473319895459e-31	2.92986701853947e-30
AGPAT9L	248.763485427934	-0.558306945770959	0.132980937532979	-4.19839832782424	2.68809494015468e-05	7.73318026321711e-05
AGRN	2109.57849498767	-2.89960826967924	0.19202734305598	-15.0999759905752	1.61992373427525e-51	2.36531521480191e-50
AGRP	9.16883602913358	-2.02226415341414	0.74545936942836	-2.71277582165862	0.00667222279093706	0.0139679177736882
AGTR1	14.0551551814373	-1.36236476967127	0.546076781543287	-2.49482273503928	0.0126020068033671	0.0250504476441646
AGTR2	27.890315742525	-0.979103301015318	0.375695195190156	-2.6061107875488	0.00915768358323321	0.0186931697348626
AHCYL1	1421.82965011515	-0.207078148818479	0.0734774937598199	-2.81825274954759	0.0048285783668198	0.0103480156316532
AHSA2	2392.50397916952	-0.171130090432505	0.0609600891548107	-2.80724803400325	0.00499667521408562	0.0106819472171709
AHSG	3.56385280816933	-5.46338853063879	1.54741709106453	-3.53065024432443	0.000414539507151511	0.00103833792098411
AIDA	728.531613992286	-0.475806201910996	0.0873187583362519	-5.44907200900332	5.06333115626385e-08	1.84249485086771e-07
AIP	753.563552236566	-0.434717098648762	0.0905438493206891	-4.80117757208529	1.57735319261301e-06	5.10939104277996e-06
AIPL1	18.5202214410544	-1.18085789447537	0.493994583863966	-2.39042680435651	0.016828803257123	0.0327022254079784
AK3	290.121644831882	-0.529939626512421	0.132769053574171	-3.99143936215807	6.56734815234784e-05	0.000182034022860776
AKAP13	3118.7843096769	-0.838509215453414	0.0613865220032923	-13.6595002956584	1.77195512192494e-42	2.13740167220062e-41
AKAP17A	1915.34790173298	-0.67036910046221	0.0640018871230084	-10.4742083491037	1.13483098339622e-25	8.98910126453459e-25
AKAP2	1972.62583465136	-1.45703631461169	0.0615525589283604	-23.6714174029304	7.10439916472981e-124	2.78834313081877e-122
AKAP5	49.7281920768213	-1.77665207529877	0.309236549709974	-5.7452848861658	9.17663520360279e-09	3.52739585882228e-08
AKAP6	226.849127874112	-0.865507135231914	0.138700545677706	-6.24011341125556	4.37253754244888e-10	1.82414753019645e-09
AKAP7	214.282803755621	-0.363188204537389	0.154572054604421	-2.34963690860457	0.0187917319217507	0.0361466017988165
