baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
44G24.1	4.70530292362242	2.31576604395822	1.00009227045686	2.3155523868816	0.0205827210889787	0.0393055804223408
A4GALT	486.322759875035	0.446272320467991	0.0976877868940294	4.56835326766183	4.9157101510991e-06	1.52284907945028e-05
AAAS	2071.93751578408	0.323413796066745	0.0742286372561222	4.356994928397	1.31860322079568e-05	3.91920786479911e-05
AACS	1971.00574214744	1.11625160519073	0.0677704343211662	16.4710705541708	5.9213148872409e-61	1.01675209576966e-59
AADAC	99.1594742355393	0.592749329369886	0.211350670249568	2.80457747623867	0.00503825774400837	0.0107675354856597
AADACL4L1	47.3817512142102	5.43767409955466	0.703475009823799	7.72973314420459	1.07772260721648e-14	5.74785390515454e-14
AADACL4L3	15.6762516432691	1.59834409955464	0.533939637078792	2.99349212637454	0.00275804624989791	0.00613356115644568
AARS	2393.26357168054	0.473891644004359	0.058982491765581	8.03444598250928	9.40026817205705e-16	5.26354517115986e-15
AASDHPPT	117.890410244695	0.709455041159898	0.205609824500134	3.45049193483182	0.000559565886574805	0.00137796151806604
AATF	833.384845883038	0.289432023503761	0.0925388961954215	3.12767966123721	0.0017619209905977	0.00403475655666594
ABCA12	741.603564653385	7.22191860814273	0.299820784910179	24.0874514764088	3.38391747064277e-128	1.3881374614346e-126
ABCA3	3565.01567753798	0.15844412014901	0.0702382392311816	2.25580996738128	0.0240825348493597	0.04541166148782
ABCB1	1037.59641995793	0.318485147550086	0.080847819392682	3.93931648302333	8.17140793468532e-05	0.00022443961809554
ABCB5	114.173474239576	1.15111687615764	0.197802641118458	5.8195222755811	5.90160588633179e-09	2.30070072641165e-08
ABCB7	1962.7581627856	0.268248578055816	0.0745402969277716	3.59870552052864	0.000319805065845916	0.000812272623612653
ABCB9	178.224729284199	0.918546617344807	0.167295977193558	5.4905481455903	4.0068824435873e-08	1.46778430565093e-07
ABCC1	8676.3203405322	0.925323878449791	0.0581314727977044	15.9177779938569	4.77018798705154e-57	7.61479550226575e-56
ABCC3	994.898786871363	0.857693820033476	0.0853582738932007	10.0481626550534	9.35961710345696e-24	6.98958530472751e-23
ABCC4	1838.68021033407	0.403089859669886	0.0744965698911754	5.41085126816873	6.27258533922324e-08	2.26476883767908e-07
ABCF2	2023.22818254163	0.352398099090251	0.0696749989486686	5.05774100333854	4.24252089489435e-07	1.4460306282304e-06
ABCG4	578.418236031795	0.264817402616353	0.100881109645897	2.62504450581371	0.00866376419207104	0.0177683328091978
ABHD12	3130.39077054698	0.304684709541369	0.0521025059320614	5.84779376904941	4.98135595857517e-09	1.95325281530609e-08
ABHD12B	310.575872794156	0.814027319556378	0.138705520135624	5.8687449407957	4.39106329541256e-09	1.72795706008696e-08
ABHD13	2161.94379159911	0.213807395135749	0.0704481176174852	3.03496249958965	0.002405655963873	0.00539412548600389
ABHD17C	547.478346984264	0.42488424280935	0.0996026826620202	4.26579115595813	1.99195050350946e-05	5.81298763288294e-05
ABHD2	2819.52839753306	0.73518677440818	0.0657160598073117	11.1873228030385	4.7042341151402e-29	4.15149654793437e-28
ABHD3	29.2153758465306	2.91007750422522	0.445087278886494	6.53821765363765	6.22562800747254e-11	2.72575199823918e-10
ABHD8	16.5220342514346	1.28772901678729	0.542266918211814	2.37471432156275	0.0175625370389749	0.0339888565551761
ABI2	2454.76231373973	0.52381956765079	0.067382240423138	7.77385204708805	7.61346596655081e-15	4.09925655960755e-14
ABL1	1690.57157795537	0.357942184322612	0.0651554012659989	5.49366863479672	3.93668838125869e-08	1.44409791638583e-07
ABLIM1	275.7262310441	0.733381571005136	0.127436770080529	5.75486628028709	8.67104036900556e-09	3.33858238806631e-08
ACACA	2380.49131500597	0.259626018650545	0.0583525735508319	4.4492642372385	8.6164955890992e-06	2.60969579199871e-05
ACAD9	2220.47688953072	0.254225219035114	0.0624459708805586	4.07112285148668	4.67870651154204e-05	0.000131659557898919
ACADS	1025.43757104347	0.452140272737163	0.0794668406260977	5.68967218496259	1.27283486175183e-08	4.84182763952965e-08
ACAP2	1961.92966688048	0.237303498183734	0.0658520300994478	3.60358667493417	0.000313856019376884	0.000798405663327162
ACAT2	866.52960641315	0.683925761887376	0.0859429106842097	7.95790783023868	1.74972612655337e-15	9.68565257752765e-15
ACCSL	150.59841168442	1.28930218205914	0.188690893887685	6.83287971928617	8.32267364918396e-12	3.83191677607411e-11
ACD	1194.88178749601	0.853437978233022	0.0806811370063587	10.5779121353453	3.77271407106345e-26	3.04736053399632e-25
ACE	67.3451783537476	1.66144827008465	0.267404531309566	6.21323902758121	5.19034024966065e-10	2.15756130624954e-09
