baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2KTGRL	636.185212925066	-0.113407533445469	0.0919753404597721	-1.23302107802548	0.217567900275471	0.31496207268101
44G24.1	4.70530292362242	2.31576604395822	1.00009227045686	2.3155523868816	0.0205827210889787	0.0393055804223408
A1CF	0.882765221368736	-2.33221304596967	2.27229498362796	-1.02636896299707	0.304717701925743	0.414927978101573
A2M	11.1333981108557	-2.7632984478215	0.732935653370933	-3.77017878051433	0.00016313064542428	0.000430397760482557
A2ML1	118.837926049455	0.00130190176424632	0.183717632476479	0.00708642794214648	0.994345895876218	0.995681100417007
A2ML2	2.03073034580863	-1.2372288711678	1.53059347386702	-0.808332775679466	0.418899039431028	0.533720523756399
A2ML3	0	NA	NA	NA	NA	NA
A2ML4	72.7979104331106	-0.569917634758954	0.240440874409829	-2.37030262079123	0.0177735310469378	0.0343526176302936
A4GALT	486.322759875035	0.446272320467991	0.0976877868940294	4.56835326766183	4.9157101510991e-06	1.52284907945028e-05
A4GNT	1.23544490230864	1.67651794245143	2.09479876426756	0.800324103226029	0.423523041578403	0.538167058675575
AAAS	2071.93751578408	0.323413796066745	0.0742286372561222	4.356994928397	1.31860322079568e-05	3.91920786479911e-05
AACS	1971.00574214744	1.11625160519073	0.0677704343211662	16.4710705541708	5.9213148872409e-61	1.01675209576966e-59
AADAC	99.1594742355393	0.592749329369886	0.211350670249568	2.80457747623867	0.00503825774400837	0.0107675354856597
AADACL4L1	47.3817512142102	5.43767409955466	0.703475009823799	7.72973314420459	1.07772260721648e-14	5.74785390515454e-14
AADACL4L2	8.56689174101305	-0.638235312085312	0.697172606200297	-0.915462406883422	0.359948929238952	0.47333537136722
AADACL4L3	15.6762516432691	1.59834409955464	0.533939637078792	2.99349212637454	0.00275804624989791	0.00613356115644568
AADACL4L5	5.78065038128261	-0.141642973944493	0.884911696769541	-0.160064528993769	0.87283024262148	0.915859865618197
AADAT	81.9409033296312	-0.334102857056789	0.228297219248002	-1.4634556573107	0.143342738668153	0.220576047121455
AAED1	96.4123105852212	-1.34733298549922	0.221363817596007	-6.08650953046953	1.15398791583553e-09	4.69968162329741e-09
AAGAB	1096.27872474841	0.128106678795172	0.0713764777221745	1.79480247391604	0.0726851765256973	0.121989107455716
AAK1	2047.26973790594	-0.0251352493158321	0.0651268273753078	-0.385943094862961	0.699538813434013	0.783729700300595
AAMDC	178.670686296297	-0.169611638455952	0.160409087505527	-1.05736926188866	0.290343094283244	0.398603708898293
AAMP	1184.42533998397	0.146207197976813	0.0856942968107838	1.70614852350845	0.0879804301041588	0.143979260175158
