baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
44G24.1	4.70530292362242	2.31576604395822	1.00009227045686	2.3155523868816	0.0205827210889787	0.0393055804223408
A2M	11.1333981108557	-2.7632984478215	0.732935653370933	-3.77017878051433	0.00016313064542428	0.000430397760482557
A2ML4	72.7979104331106	-0.569917634758954	0.240440874409829	-2.37030262079123	0.0177735310469378	0.0343526176302936
A4GALT	486.322759875035	0.446272320467991	0.0976877868940294	4.56835326766183	4.9157101510991e-06	1.52284907945028e-05
AAAS	2071.93751578408	0.323413796066745	0.0742286372561222	4.356994928397	1.31860322079568e-05	3.91920786479911e-05
AACS	1971.00574214744	1.11625160519073	0.0677704343211662	16.4710705541708	5.9213148872409e-61	1.01675209576966e-59
AADAC	99.1594742355393	0.592749329369886	0.211350670249568	2.80457747623867	0.00503825774400837	0.0107675354856597
AADACL4L1	47.3817512142102	5.43767409955466	0.703475009823799	7.72973314420459	1.07772260721648e-14	5.74785390515454e-14
AADACL4L3	15.6762516432691	1.59834409955464	0.533939637078792	2.99349212637454	0.00275804624989791	0.00613356115644568
AAED1	96.4123105852212	-1.34733298549922	0.221363817596007	-6.08650953046953	1.15398791583553e-09	4.69968162329741e-09
AAREL	150.983129741494	-1.30240796933165	0.189222038415465	-6.88296130957018	5.86209533006602e-12	2.72243217285984e-11
AARS	2393.26357168054	0.473891644004359	0.058982491765581	8.03444598250928	9.40026817205705e-16	5.26354517115986e-15
AASDHPPT	117.890410244695	0.709455041159898	0.205609824500134	3.45049193483182	0.000559565886574805	0.00137796151806604
AASS	980.720651375204	-0.315019178580561	0.0788079483647301	-3.99730211377442	6.40685106637397e-05	0.000177797780789325
AATF	833.384845883038	0.289432023503761	0.0925388961954215	3.12767966123721	0.0017619209905977	0.00403475655666594
AATK	626.171167643621	-1.57765136214282	0.104573368727423	-15.0865500589837	1.98556215467046e-51	2.8951492869776e-50
ABCA1	2721.9270197224	-0.556702330054849	0.0713249899732239	-7.8051511856341	5.94302574842261e-15	3.21394399448495e-14
ABCA12	741.603564653385	7.22191860814273	0.299820784910179	24.0874514764088	3.38391747064277e-128	1.3881374614346e-126
ABCA2	1284.23385474473	-1.66660976909207	0.0809120617743574	-20.5977913866515	2.87247855061807e-94	8.13803963865742e-93
ABCA3	3565.01567753798	0.15844412014901	0.0702382392311816	2.25580996738128	0.0240825348493597	0.04541166148782
ABCA4	15.7771244839291	-1.91123065664524	0.547332223631025	-3.49190231111565	0.000479593615988178	0.00119128178703702
ABCA5	584.981517210339	-1.04626919996424	0.099468523617957	-10.51859585232	7.09226248826094e-26	5.6694655725455e-25
ABCA9	1029.98817342952	-1.07163938705819	0.072672061344498	-14.7462362733615	3.25307658147684e-49	4.54951366518663e-48
ABCB1	1037.59641995793	0.318485147550086	0.080847819392682	3.93931648302333	8.17140793468532e-05	0.00022443961809554
ABCB10	429.430348410453	-1.00260900191003	0.108967268299708	-9.20101070307104	3.5459853786928e-20	2.36172806083272e-19
ABCB5	114.173474239576	1.15111687615764	0.197802641118458	5.8195222755811	5.90160588633179e-09	2.30070072641165e-08
ABCB6	105.827368215899	-0.46926330212048	0.20577704967784	-2.28044528218841	0.02258129256251	0.0427972577566678
ABCB7	1962.7581627856	0.268248578055816	0.0745402969277716	3.59870552052864	0.000319805065845916	0.000812272623612653
ABCB8	1048.32357277888	-0.217089671678909	0.0876033881010946	-2.47809675384229	0.0132085321840101	0.0261490615342876
ABCB9	178.224729284199	0.918546617344807	0.167295977193558	5.4905481455903	4.0068824435873e-08	1.46778430565093e-07
ABCC1	8676.3203405322	0.925323878449791	0.0581314727977044	15.9177779938569	4.77018798705154e-57	7.61479550226575e-56
ABCC10	642.828405031506	-0.329111865078427	0.0882791061820235	-3.72808334057923	0.000192941578204976	0.000504649900152811
ABCC13	339.134338214532	-0.994187397020359	0.116120222093519	-8.56170767757986	1.11207875916449e-17	6.74417789467167e-17
ABCC3	994.898786871363	0.857693820033476	0.0853582738932007	10.0481626550534	9.35961710345696e-24	6.98958530472751e-23
ABCC4	1838.68021033407	0.403089859669886	0.0744965698911754	5.41085126816873	6.27258533922324e-08	2.26476883767908e-07
ABCC5	7136.65457591093	-0.221180450552768	0.0552917239228159	-4.00024515172512	6.32768984073932e-05	0.00017569436685457
ABCC6	351.153921803514	-0.674684156134243	0.112789223530906	-5.98181399794252	2.20666175008648e-09	8.84528649295562e-09
ABCC8	1077.09839673836	-6.10610017351288	0.152587629329618	-40.0170066232732	0	0
ABCC9	1009.14308196273	-3.79408621083775	0.0975258033886857	-38.9034089339059	0	0
ABCD2	771.178802539321	-0.944719469849542	0.0889752110379278	-10.6177828501787	2.46342568467684e-26	1.99907999596006e-25
ABCD4	267.41207782633	-0.554928175849934	0.128777309305826	-4.30920772332697	1.63840427479942e-05	4.82372832174449e-05
ABCF2	2023.22818254163	0.352398099090251	0.0696749989486686	5.05774100333854	4.24252089489435e-07	1.4460306282304e-06
ABCG1	1487.85990559668	-0.753966051348697	0.0666010869797649	-11.320626817664	1.03727578099084e-29	9.32342587476917e-29
ABCG2	200.057811593101	-1.24734634909964	0.148650954001069	-8.39110894028081	4.81577820894314e-17	2.84451057999244e-16
ABCG4	578.418236031795	0.264817402616353	0.100881109645897	2.62504450581371	0.00866376419207104	0.0177683328091978
ABHD1	473.060939499742	-0.449382146836643	0.109301570015138	-4.11139699799742	3.93272314196286e-05	0.000111357823710584
ABHD12	3130.39077054698	0.304684709541369	0.0521025059320614	5.84779376904941	4.98135595857517e-09	1.95325281530609e-08
ABHD12B	310.575872794156	0.814027319556378	0.138705520135624	5.8687449407957	4.39106329541256e-09	1.72795706008696e-08
ABHD13	2161.94379159911	0.213807395135749	0.0704481176174852	3.03496249958965	0.002405655963873	0.00539412548600389
ABHD17B	685.232661441539	-0.288160741784494	0.0952097783141631	-3.02658767709396	0.00247331080494566	0.00553512643164688
ABHD17C	547.478346984264	0.42488424280935	0.0996026826620202	4.26579115595813	1.99195050350946e-05	5.81298763288294e-05
ABHD18	1611.04086197945	-0.199760947540621	0.0737721223844776	-2.70781077030058	0.00677286273233668	0.0141629818579059
ABHD2	2819.52839753306	0.73518677440818	0.0657160598073117	11.1873228030385	4.7042341151402e-29	4.15149654793437e-28
ABHD3	29.2153758465306	2.91007750422522	0.445087278886494	6.53821765363765	6.22562800747254e-11	2.72575199823918e-10
ABHD6	458.519435997493	-0.545332473221375	0.104973516124806	-5.19495291148498	2.04771664569732e-07	7.13556801771696e-07
ABHD8	16.5220342514346	1.28772901678729	0.542266918211814	2.37471432156275	0.0175625370389749	0.0339888565551761
ABI1	3289.72169347038	-0.405585867750841	0.0518225444201245	-7.82643678131207	5.01891504369371e-15	2.72194665226817e-14
ABI2	2454.76231373973	0.52381956765079	0.067382240423138	7.77385204708805	7.61346596655081e-15	4.09925655960755e-14
ABI3BP	513.896675946595	-1.54174948422855	0.0986163917727143	-15.63380546088	4.28433874590218e-55	6.63135604258248e-54
ABL1	1690.57157795537	0.357942184322612	0.0651554012659989	5.49366863479672	3.93668838125869e-08	1.44409791638583e-07
ABLIM1	275.7262310441	0.733381571005136	0.127436770080529	5.75486628028709	8.67104036900556e-09	3.33858238806631e-08
ABLIM3	161.306389943848	-2.12478136158914	0.182332620189972	-11.6533254410282	2.20675947531474e-31	2.07181375200412e-30
ABRACL	1545.01001456951	-0.204214145273846	0.083221980683215	-2.45384865389336	0.0141336452574035	0.0278301125023185
ABTB1	2011.95153808823	-0.689165421945195	0.0620472890922893	-11.107099633638	1.1586178675457e-28	1.01010192377262e-27
ACAA2	1517.59435043483	-0.374839774150147	0.0682517951458858	-5.49201340930213	3.97377212593508e-08	1.45642201140117e-07
ACACA	2380.49131500597	0.259626018650545	0.0583525735508319	4.4492642372385	8.6164955890992e-06	2.60969579199871e-05
ACAD11	198.267215338654	-0.508898837867039	0.148009251381521	-3.43829073599771	0.00058539880762642	0.0014371695594638
ACAD6L	305.14852700102	-0.506331647193862	0.122056941306367	-4.14832324794175	3.34919280483596e-05	9.5482176085438e-05
ACAD9	2220.47688953072	0.254225219035114	0.0624459708805586	4.07112285148668	4.67870651154204e-05	0.000131659557898919
ACADL	1550.46805321824	-0.712374001335145	0.0641665368742783	-11.1019549446918	1.22729579691745e-28	1.06863787488058e-27
ACADS	1025.43757104347	0.452140272737163	0.0794668406260977	5.68967218496259	1.27283486175183e-08	4.84182763952965e-08
ACAP2	1961.92966688048	0.237303498183734	0.0658520300994478	3.60358667493417	0.000313856019376884	0.000798405663327162
ACAP3	458.293947513708	-0.883559481235501	0.104144308736354	-8.48399199107718	2.17596744241655e-17	1.30295956976363e-16
ACAT2	866.52960641315	0.683925761887376	0.0859429106842097	7.95790783023868	1.74972612655337e-15	9.68565257752765e-15
ACBD7	116.732680146933	-1.60680135295758	0.192250046136569	-8.35787239195852	6.38594667364351e-17	3.74967847428786e-16
ACCSL	150.59841168442	1.28930218205914	0.188690893887685	6.83287971928617	8.32267364918396e-12	3.83191677607411e-11
ACD	1194.88178749601	0.853437978233022	0.0806811370063587	10.5779121353453	3.77271407106345e-26	3.04736053399632e-25
ACE	67.3451783537476	1.66144827008465	0.267404531309566	6.21323902758121	5.19034024966065e-10	2.15756130624954e-09
ACER1	26.3297371916333	3.95237213914072	0.658774597543087	5.99958188108827	1.9782625515498e-09	7.95113033231183e-09
ACER2	113.942898552151	0.834060696080258	0.197705253576727	4.21870780361722	2.45706451331544e-05	7.09984874592118e-05
ACER3	1459.54449504607	-0.706126187056834	0.065271760570913	-10.8182494371311	2.82114271588422e-27	2.36188692492632e-26
ACHE	70.0178007215505	1.34018638022853	0.29609967430595	4.52613257130355	6.00729032482152e-06	1.8471863990946e-05
ACHRB	209.778275038596	-2.14940575414392	0.16379731559305	-13.1223503044706	2.45210360476178e-39	2.79018655408316e-38
ACKR1	89.2076665374653	0.871467160860402	0.226156627445384	3.85337883176056	0.000116498928172745	0.000313546999258433
ACKR3	457.677129020548	0.275288183030602	0.104732537936613	2.62848765487964	0.00857654684032284	0.0176119490584128
ACKR4	785.404154912143	2.90545683549017	0.103203496589928	28.1526976458443	2.22091999467802e-174	1.58810991400264e-172
ACLY	2588.52862110393	0.757650878186647	0.0580844346326047	13.0439571802486	6.87917991645177e-39	7.72243422879102e-38
ACO1	2132.7251581111	-0.192314760063879	0.0619523560570699	-3.10423642139971	0.00190770822551467	0.0043447805136067
ACO2	3600.44011476657	0.164618569621295	0.0515429226776123	3.19381519458922	0.00140405968927038	0.00326358302482083
ACOD1	505.741302344844	2.33691045936504	0.105967696516817	22.0530457505432	8.93064666625454e-108	2.97403353096323e-106
ACOT11	186.792897636549	1.20018424716013	0.177564798522939	6.75913388883259	1.3881906862136e-11	6.31628274747001e-11
ACOT2L	257.523330201181	-0.537009232828117	0.143066321593804	-3.75356846283362	0.000174334888888941	0.000458155625417727
ACOT4	198.846416454475	-0.897106921777998	0.157525116277037	-5.6950087895842	1.23365565542248e-08	4.70049819073383e-08
ACOT8	1175.23008422086	0.247042912267994	0.0839282372388993	2.94350173904872	0.0032452199991479	0.0071319012295767
ACOT9	2160.39747388853	1.24638199668504	0.0608438133413335	20.4849421533269	2.93332236495231e-93	8.16636946402723e-92
ACOX1	1344.22393383722	-0.549049525238416	0.0652088661232931	-8.41986002640047	3.76934383224357e-17	2.2346365479059e-16
ACOX2	125.807484487872	1.45965538264765	0.204167680096757	7.14929699919157	8.72234315796438e-13	4.22754236625571e-12
ACOX3	201.939613787037	-0.349471528674599	0.146275247894374	-2.38913646502211	0.0168880281153427	0.032802049027754
ACP1	2155.28905052391	0.411451875300316	0.0692698464597268	5.93984101783065	2.85298616215681e-09	1.13467335363494e-08
ACP2	2313.07479288521	0.273473814198522	0.0597863182325439	4.57418724355668	4.78072155712761e-06	1.4821301575772e-05
ACSBG2	2097.54298012002	0.236936489997561	0.0611471108853522	3.87485993315048	0.000106686046278267	0.000288849150193233
ACSF2	1793.89666328829	-1.67857818522068	0.0757375312127007	-22.1630961340233	7.79992822164663e-109	2.63531555449809e-107
ACSL1	367.112651153736	0.799113859529293	0.115610409934992	6.91212720358518	4.774394294239e-12	2.22471218173868e-11
ACSL4	3272.73715395469	0.698578889121372	0.0621393042545512	11.2421421112099	2.53163605147859e-29	2.24842878583041e-28
ACSL5	1163.61177148916	0.282973813344716	0.0796965342026541	3.55064139458266	0.000384293647819657	0.000965938529730883
ACSS1	776.614902130493	-1.19902155724345	0.0845960233362511	-14.1734978779983	1.33672887458228e-45	1.72609145957193e-44
ACSS2	2366.35446987132	0.860958803484447	0.0664082816684559	12.9646300409156	1.94164928235808e-38	2.15876661425116e-37
ACSS3	115.169598492741	-2.27168275736062	0.207554323182268	-10.9450033250606	7.02151518079881e-28	5.97186301324151e-27
ACTA2	2666.11219956511	-2.35311068154441	0.0633273691912636	-37.1578783643682	3.27083624247496e-302	7.18895376240813e-300
ACTB	118217.025178634	-0.171933427605473	0.0450706266218485	-3.8147556511257	0.00013631775004023	0.000363282019252074
ACTC1	12.5704728990895	2.40295254276729	0.65761880190909	3.65402043827129	0.000258165703739309	0.000664427449041881
ACTG1	1184.7742321373	0.518062950180938	0.0806646753334195	6.42242652114542	1.34118995237694e-10	5.76570850435054e-10
ACTG2	1573.32096514943	3.18759013750936	0.292784144224099	10.8871679030185	1.32702971033242e-27	1.11998303766131e-26
ACTL6A	1730.87812955169	0.479556509217806	0.0713738926464544	6.71893449322227	1.83058175091217e-11	8.25897730316468e-11
ACTN1	8900.12831293827	0.35949237387563	0.048186242867376	7.46047735792699	8.62095699003957e-14	4.40758036121514e-13
ACTN2	11.6824094481451	-1.97972569453611	0.618053869865349	-3.20316042186973	0.00135928239681636	0.00316443488075879
ACTN4	4022.83894856784	0.213159972181651	0.069007112938581	3.08895653077634	0.00200860825661743	0.00455322336317141
ACTR10L	196.861977233632	0.491227722093404	0.143868884675385	3.41441252708515	0.000639197146144048	0.00156043919227028
ACTR1A	2225.99914038493	0.314210829146388	0.0636427201577527	4.93710558517213	7.92905480976784e-07	2.63922627814367e-06
ACTR2	6467.65213494137	0.233572843972712	0.0560997517505263	4.16352722934323	3.13368634971391e-05	8.95829285077034e-05
ACTR3	11774.7948578999	0.143118037123294	0.05074619491482	2.8202713004103	0.00479830628842708	0.0102903074637083
ACTR3B	3794.87317282369	1.66454086062601	0.0631001033344735	26.3793682207272	2.36358585032684e-153	1.34840635395695e-151
ACTR6	1950.39793065391	0.469854501837423	0.0695210554161141	6.75844891918192	1.39476805098892e-11	6.34344519813736e-11
ACTR8	838.882753083557	0.279541012404712	0.0884661803477612	3.15986302681809	0.00157843325242833	0.00363811527880599
ACVR1C	31.5347545948028	-1.04134939549218	0.359819939274869	-2.8940847402475	0.00380265521889729	0.00826388852732883
ACVR2A	1412.13804267758	0.239484720434334	0.0645268510439885	3.71139636538401	0.000206119054778595	0.000536763016185715
ACVRL1	1217.08438038791	-1.47878639399855	0.0815100600575039	-18.1423789033561	1.47505944900049e-73	3.11103447425559e-72
ACY1	690.735323084644	0.314077469926561	0.0938061991697651	3.34815260298695	0.000813522022833606	0.00195717707532731
ACYP1	322.731980179241	0.495492058006269	0.129002567081012	3.84094727118963	0.000122560441331144	0.000328632594708396
ADA	1606.06790214	-0.228200081908227	0.0693868889113396	-3.28880694160843	0.00100613011378394	0.00239168969112883
ADAM10	6763.3109410794	-0.273592297596658	0.0531052098118626	-5.15189184951763	2.57871741767065e-07	8.91303090232794e-07
ADAM12	131.743392205663	-1.04954461455605	0.20407436326476	-5.14295180328161	2.70455024191663e-07	9.33868183416888e-07
ADAM17	3045.43423604906	0.587765159621124	0.0552046070789076	10.6470309403886	1.80015205987012e-26	1.46767571300618e-25
ADAM19	75.3186574268346	-2.1082361699141	0.251590113535946	-8.37964632347482	5.30869810739199e-17	3.1268156976684e-16
ADAM23	1052.4252157628	-1.67902478749734	0.082086409044007	-20.4543578778943	5.494085707365e-93	1.52345962244065e-91
ADAM28	2422.41506346595	4.61314278153218	0.099356182421405	46.4303546000408	0	0
ADAM33	3949.39158212963	-0.570375524393716	0.0559691510598831	-10.1908911175632	2.17758899248106e-24	1.66488678736743e-23
ADAM5P	193.25636707747	2.78497400752636	0.224949975705601	12.3804147957372	3.33614109289156e-35	3.42639577076122e-34
ADAM8	144.868526789892	3.08927476794246	0.214572012288457	14.3973798586063	5.37426029417639e-47	7.12021287705603e-46
ADAM9L	6.52324214330274	-2.33972423951888	0.898187219788446	-2.60494047117478	0.00918902236834714	0.018746144313736
ADAMTS1	2623.83731462838	-0.347415556161484	0.0553793466797004	-6.27337765775468	3.532985551248e-10	1.48073770473252e-09
ADAMTS12	488.430584476261	1.92122615294138	0.119167005342987	16.1221316874725	1.78349519031995e-58	2.92762418033652e-57
ADAMTS13	233.154579902454	-1.55348128113123	0.139945914213928	-11.1005833207571	1.24627811742678e-28	1.08381037450526e-27
ADAMTS14	193.276664877144	-2.14653417407161	0.159862177103877	-13.4274048618568	4.17797827950119e-41	4.91748514520771e-40
ADAMTS15	195.829125675135	-1.20337992539786	0.15388007136982	-7.82024543324897	5.27204448976833e-15	2.85848582047164e-14
ADAMTS17	182.968438800743	1.4297878408121	0.166130198722255	8.6064294860833	7.5371478169824e-18	4.60162708826294e-17
ADAMTS18	33.6587301267177	1.70659822781748	0.389862902464419	4.37743169978383	1.20085974472413e-05	3.58199306711999e-05
ADAMTS2	512.27898683677	0.88772506420982	0.0992334057329192	8.94582885322992	3.69168752839427e-19	2.36231797710304e-18
ADAMTS3	1974.29107060133	-4.77605656210885	0.0876140317726135	-54.512461822374	0	0
ADAMTS4	137.259704413482	1.51081243630805	0.208526650272204	7.24517674041129	4.31875653953503e-13	2.12979774552412e-12
ADAMTS5	419.709768946197	1.75937710545128	0.126050944114476	13.957667019562	2.82531732168136e-44	3.54736173642254e-43
