sample_SRR7959183	sample_SRR7959184	sample_SRR7959185	sample_SRR8377639	sample_SRR8377638	sample_SRR11509530	sample_SRR11509531	sample_SRR11509532
2KTGRL	25.618312	28.288487	28.748777	18.30004584	20.3659643252	27.6366983	28.07257595	27.517196
44G24.1	4.31012	3.36804	4.29048	0.307718	0.516353	0.44392	0.435389	1.79289
A1CF	0	0	0.020604	0	0	0.0167333	0.0518357	0.0340042
A2M	0.0764102620949	0.0308317	0.0601350880684	0	0.0503158	0.2476362	0.488659	0.32096
A2ML1	0.928133	0.870786	0.840772	0.584391	0.581168	0.909744	0.87954	0.844768
A2ML2	0.0177827	0	0.0407497	0.0127224	0.0496255	0.016547	0.0341734	0.0840643
A2ML3	0	0	0	0	0	0	0	0
A2ML4	0.889914	0.781321	0.771009	0.645824	0.791234	1.11887	1.18349	1.32642
A4GALT	8.62414	8.79289	8.91473	3.367738	3.024824	6.452358	6.361391	6.61072
A4GNT	0	0.040878	0.092626	0.0863199	0.0676119	0	0	0.0382468
AAAS	68.06804	64.90133	56.67969	94.70579	97.09637	50.22954	49.02048	52.4728
AACS	41.5909	43.2929	46.1903	52.7975	49.3038	20.1662	19.739	20.6332
AADAC	2.901704	2.771871	2.5499950884316	1.8865055	2.3821753	1.597964	1.457853	1.5422428
AADACL4L1	2.80405	3.42427	4.20327	2.5454	3.1989	0	0.0982547	0.145642
AADACL4L2	0.313853	0.0831509	0.18848	0.097865	0.107069	0.280785	0.394804	0.259304
AADACL4L3	2.09797	1.00623	1.29601	0.317977	0.279559	0.566787	0.423261	0.470784
AADACL4L5	0.0428434	0.131628	0.0326418	0.0815933	0.0636128	0.0397559	0.0710599	0.121194
AADAT	3.47333	3.08925	3.728500083315	2.634693	3.282093	4.414183	4.08985	4.696817
AAED1	1.00547	0.999529	1.18966	1.17518	1.32389	3.07002	2.66365	2.38479
AAGAB	29.34222	28.2386	28.00044	18.99696	19.03972	26.96855	27.13125	26.54657
AAK1	22.9664267249	21.1170056	21.8770460659	9.3228769	8.169543344455	23.1054930390971	22.0069710227402	22.855587
AAMDC	7.556774	9.590693	10.0876298	9.117668	10.008088	10.355947151293	10.2665	10.572601
AAMP	35.3167	29.2265	28.1217	36.7899	35.9773	28.5467	27.7913	27.85298
AANAT	0.0911123	0.222826	0.0891683	0.102187	0.0868911	0.156858	0.112217	0.0980898
AAR2	31.15842	29.62681	28.46334	24.976458	23.288744	29.35197	30.37254	29.66564
AAREL	2.537094	2.295827	2.22784	3.244973	4.511633	5.675401	5.606669	6.418955
