target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	301.356	0	0
NM_001281925.1	634	381.344	270.113	52.8953
NM_001285876.1	834	580.797	6.70675	0.862336
NM_001286187.1	1110	856.726	437.979	38.1769
NM_001290408.1	830	576.797	4	0.517876
NM_001291139.1	4671	4417.73	6.5	0.109876
NM_001291140.1	4671	4417.73	6.5	0.109876
NM_001291520.1	4282	4028.73	648.212	12.0154
NM_001293736.1	2063	1809.73	30.392	1.25411
NM_001301748.1	4136	3882.73	1418.99	27.2919
XM_004600099.2	4960	4706.73	11	0.174527
XM_004600101.2	2089	1835.73	218.289	8.88002
XM_004600104.2	2631	2377.73	339.642	10.6672
XM_004600106.2	1814	1560.73	931	44.5464
XM_004600110.2	5382	5128.73	1.00037	0.014566
XM_004600111.2	7707	7453.73	488.848	4.89767
XM_004600112.2	2780	2526.73	559	16.5212
XM_004600113.2	6730	6476.73	1210.23	13.9541
XM_004600116.2	4584	4330.73	862	14.864
XM_004600117.2	5632	5378.73	852.823	11.8405
XM_004600118.2	3291	3037.73	2	0.0491666
XM_004600119.2	4040	3786.73	250.407	4.93824
XM_004600122.3	1286	1032.73	266	19.2347
XM_004600124.2	2122	1868.73	2	0.0799233
XM_004600126.2	8802	8548.73	13.2847	0.116049
XM_004600127.2	8714	8460.73	60.9233	0.537731
XM_004600128.2	1680	1426.73	0	0
XM_004600129.2	3277	3023.73	772.323	19.0742
XM_004600134.2	3956	3702.73	47	0.947906
XM_004600135.2	2791	2537.73	163.964	4.82495
XM_004600136.2	2646	2392.73	671	20.942
XM_004600137.2	2111	1857.73	398.44	16.0166
XM_004600138.2	5001	4747.73	746.618	11.7436
XM_004600140.2	6744	6490.73	0	0
XM_004600145.3	7206	6952.73	382.802	4.11158
XM_004600146.2	4518	4264.73	532.904	9.3314
XM_004600147.2	3462	3208.73	6.18665e-06	1.43983e-07
XM_004600156.2	2914	2660.73	0	0
XM_004600157.2	8233	7979.73	72.4968	0.678453
XM_004600158.2	8206	7952.73	104.914	0.985157
XM_004600160.2	7984	7730.73	75.8773	0.732961
XM_004600162.2	7895	7641.73	431.712	4.21883
XM_004600163.2	822	568.797	0	0
XM_004600165.2	3870	3616.73	463.986	9.58028
