X1	X2	X3	X4	X5	X6	p_adjusted
1	ENST00000002596	sorex_araneus	7.08764e-05	0.0002835056	ENSG00000002587	HS3ST1	0.0104983385180328
2	ENST00000008938	sorex_araneus	0.0003961485	0.0015845939	ENSG00000008438	PGLYRP1	0.0395823044973144
3	ENST00000056217	sorex_araneus	0.0003821299	0.0011463898	ENSG00000050327	ARHGEF5	0.0306194518878378
4	ENST00000159087	sorex_araneus	1.683e-07	6.731e-07	ENSG00000074855	ANO8	9.85468259259259e-05
5	ENST00000162749	sorex_araneus	0.0001986429	0.0003972859	ENSG00000067182	TNFRSF1A	0.0136860232043573
6	ENST00000170168	sorex_araneus	6.958e-07	2.7832e-06	ENSG00000079313	REXO1	0.000295355425503356
7	ENST00000176763	sorex_araneus	1.384e-06	5.5361e-06	ENSG00000072786	STK10	0.000525823409411765
8	ENST00000185206	sorex_araneus	5e-10	1.9e-09	ENSG00000112782	CLIC5	7.32751219512195e-07
9	ENST00000200453	sorex_araneus	0.0001354662	0.0004063986	ENSG00000087074	PPP1R15A	0.0138926246920086
10	ENST00000215885	sorex_araneus	0.0003381445	0.0010144335	ENSG00000100078	PLA2G3	0.028091457971979
11	ENST00000216286	sorex_araneus	4.78573e-05	0.0001435719	ENSG00000087303	NID2	0.0063948137543662
12	ENST00000216361	sorex_araneus	8.55e-08	3.418e-07	ENSG00000100473	COCH	5.62973083333333e-05
13	ENST00000216471	sorex_araneus	0	1e-10	ENSG00000100583	SAMD15	5.27066666666667e-08
14	ENST00000216487	sorex_araneus	0.0001124008	0.000449603	ENSG00000100599	RIN3	0.0151117163983015
15	ENST00000219551	sorex_araneus	7e-10	2.6e-09	ENSG00000103269	RHBDL1	9.34345454545455e-07
16	ENST00000219596	sorex_araneus	0	0	ENSG00000103313	MEFV	0
17	ENST00000221462	sorex_araneus	4.37878e-05	0.0001751513	ENSG00000104866	PPP1R37	0.00736567115851064
18	ENST00000221573	sorex_araneus	2.03966e-05	6.11898e-05	ENSG00000104976	SNAPC2	0.0033021608109215
19	ENST00000221665	sorex_araneus	0.0006377821	0.0019133463	ENSG00000179943	FIZ1	0.0457006521081571
20	ENST00000221973	sorex_araneus	1.57276e-05	6.29103e-05	ENSG00000105370	LIM2	0.00337199208
21	ENST00000222286	sorex_araneus	0.0002372245	0.000948898	ENSG00000105679	GAPDHS	0.0266500447175844
22	ENST00000222511	sorex_araneus	3.9384e-05	0.000157536	ENSG00000105793	GTPBP10	0.00682454584109589
23	ENST00000225235	sorex_araneus	7.582e-07	2.2745e-06	ENSG00000108239	TBC1D12	0.000255750689361702
24	ENST00000225929	sorex_araneus	8.80403e-05	0.0003521613	ENSG00000108786	HSD17B1	0.012433469725
25	ENST00000226218	sorex_araneus	6.2645e-06	2.5058e-05	ENSG00000109072	VTN	0.00166477771428571
26	ENST00000227474	sorex_araneus	0	0	ENSG00000110060	PUS3	0
27	ENST00000228027	sorex_araneus	9.8253e-06	3.93013e-05	ENSG00000062282	DGAT2	0.00238096611340996
28	ENST00000229239	sorex_araneus	4.08e-08	1.632e-07	ENSG00000111640	GAPDH	3.14357619047619e-05
29	ENST00000229633	sorex_araneus	6.4414e-06	2.57655e-05	ENSG00000111911	HINT3	0.00168348795867769
30	ENST00000231484	sorex_araneus	6.88303e-05	0.0002753212	ENSG00000113555	PCDH12	0.0102585763284706
31	ENST00000233156	sorex_araneus	0.0003292651	0.0009877952	ENSG00000003436	TFPI	0.0275467684345679
32	ENST00000233957	sorex_araneus	1.42406e-05	5.69623e-05	ENSG00000115604	IL18R1	0.00313828532264808
33	ENST00000236040	sorex_araneus	7.21061e-05	0.0001442122	ENSG00000117385	P3H1	0.00640529018651685
34	ENST00000237247	sorex_araneus	2.13132e-05	8.52527e-05	ENSG00000118473	SGIP1	0.00422575452163009
35	ENST00000237275	sorex_araneus	6.2435e-06	2.49742e-05	ENSG00000118491	ZC2HC1B	0.00166477771428571
36	ENST00000243578	sorex_araneus	9.15628e-05	0.000366251	ENSG00000123810	B9D2	0.0127840194525386
37	ENST00000243938	sorex_araneus	0	0	ENSG00000124116	WFDC3	0
38	ENST00000244289	sorex_araneus	2.35392e-05	9.41569e-05	ENSG00000079435	LIPE	0.00448436416506024
39	ENST00000244745	sorex_araneus	8.77921e-05	0.0003511685	ENSG00000124766	SOX4	0.012433469725
40	ENST00000245479	sorex_araneus	1.042e-07	4.169e-07	ENSG00000125398	SOX9	6.72655387755102e-05
41	ENST00000245907	sorex_araneus	0.0003126708	0.0012506832	ENSG00000125730	C3	0.0326872772866116
42	ENST00000246105	sorex_araneus	6.11396e-05	0.0001834187	ENSG00000125903	DEFB129	0.00761895202309711
43	ENST00000246532	sorex_araneus	5.03219e-05	0.0002012876	ENSG00000126246	IGFLR1	0.00826090566528497
44	ENST00000246662	sorex_araneus	1.196e-07	4.784e-07	ENSG00000171403	KRT9	7.48956514851485e-05
45	ENST00000247270	sorex_araneus	0.0002821733	0.001128693	ENSG00000126860	EVI2A	0.0304411923638842
46	ENST00000247815	sorex_araneus	5.009e-07	2.0037e-06	ENSG00000127311	HELB	0.000232959591176471
47	ENST00000248846	sorex_araneus	0	0	ENSG00000128159	TUBGCP6	0
48	ENST00000249041	sorex_araneus	3.148e-07	1.2594e-06	ENSG00000128310	GALR3	0.000163226498360656
49	ENST00000250378	sorex_araneus	0.0004465329	0.0013395987	ENSG00000092009	CMA1	0.0343302020168558
50	ENST00000251268	sorex_araneus	0.000299519	0.0005990379	ENSG00000105429	MEGF8	0.0189061622251497
51	ENST00000251993	sorex_araneus	0.0004090594	0.0016362375	ENSG00000100364	KIAA0930	0.0403622267550702
52	ENST00000252244	sorex_araneus	3.1462e-06	1.25848e-05	ENSG00000167768	KRT1	0.00102046593641026
