X1	X2	X3	X4	X5	X6	p_adjusted
1	ENST00000002596	sorex_araneus	7.08764e-05	0.0002835056	ENSG00000002587	HS3ST1	0.0104983385180328
2	ENST00000008938	sorex_araneus	0.0003961485	0.0015845939	ENSG00000008438	PGLYRP1	0.0395823044973144
3	ENST00000159087	sorex_araneus	1.683e-07	6.731e-07	ENSG00000074855	ANO8	9.85468259259259e-05
4	ENST00000176763	sorex_araneus	1.384e-06	5.5361e-06	ENSG00000072786	STK10	0.000525823409411765
5	ENST00000215885	sorex_araneus	0.0003381445	0.0010144335	ENSG00000100078	PLA2G3	0.028091457971979
6	ENST00000219596	sorex_araneus	0	0	ENSG00000103313	MEFV	0
7	ENST00000221973	sorex_araneus	1.57276e-05	6.29103e-05	ENSG00000105370	LIM2	0.00337199208
8	ENST00000222511	sorex_araneus	3.9384e-05	0.000157536	ENSG00000105793	GTPBP10	0.00682454584109589
9	ENST00000225929	sorex_araneus	8.80403e-05	0.0003521613	ENSG00000108786	HSD17B1	0.012433469725
10	ENST00000228027	sorex_araneus	9.8253e-06	3.93013e-05	ENSG00000062282	DGAT2	0.00238096611340996
11	ENST00000231484	sorex_araneus	6.88303e-05	0.0002753212	ENSG00000113555	PCDH12	0.0102585763284706
12	ENST00000237275	sorex_araneus	6.2435e-06	2.49742e-05	ENSG00000118491	ZC2HC1B	0.00166477771428571
13	ENST00000243578	sorex_araneus	9.15628e-05	0.000366251	ENSG00000123810	B9D2	0.0127840194525386
14	ENST00000243938	sorex_araneus	0	0	ENSG00000124116	WFDC3	0
15	ENST00000244745	sorex_araneus	8.77921e-05	0.0003511685	ENSG00000124766	SOX4	0.012433469725
16	ENST00000245479	sorex_araneus	1.042e-07	4.169e-07	ENSG00000125398	SOX9	6.72655387755102e-05
17	ENST00000246532	sorex_araneus	5.03219e-05	0.0002012876	ENSG00000126246	IGFLR1	0.00826090566528497
18	ENST00000247270	sorex_araneus	0.0002821733	0.001128693	ENSG00000126860	EVI2A	0.0304411923638842
19	ENST00000249041	sorex_araneus	3.148e-07	1.2594e-06	ENSG00000128310	GALR3	0.000163226498360656
20	ENST00000250378	sorex_araneus	0.0004465329	0.0013395987	ENSG00000092009	CMA1	0.0343302020168558
21	ENST00000252998	sorex_araneus	0.0002036957	0.000814783	ENSG00000130701	RBBP8NL	0.0239023168756957
22	ENST00000253697	sorex_araneus	1.8642e-06	5.5927e-06	ENSG00000131379	C3orf20	0.000525823409411765
23	ENST00000254801	sorex_araneus	4.1761e-06	1.67042e-05	ENSG00000132465	JCHAIN	0.00124588118113208
24	ENST00000256404	sorex_araneus	6.3182e-05	0.0002527281	ENSG00000134020	PEBP4	0.00972296038248175
25	ENST00000257901	sorex_araneus	0.0002931536	0.0008794609	ENSG00000135443	KRT85	0.0252837013650909
26	ENST00000259808	sorex_araneus	0.000422589	0.0016903561	ENSG00000137275	RIPK1	0.0414386211677519
27	ENST00000261584	sorex_araneus	0.0001047029	0.0004188115	ENSG00000083093	PALB2	0.0142720849956897
28	ENST00000261726	sorex_araneus	0.0001909024	0.0007636097	ENSG00000111249	CUX2	0.023042359878626
29	ENST00000261921	sorex_araneus	1.1632e-06	4.6526e-06	ENSG00000129038	LOXL1	0.000456937336645963
30	ENST00000263187	sorex_araneus	6.7138e-05	0.0002685519	ENSG00000057468	MSH4	0.0101587144564593
31	ENST00000263205	sorex_araneus	0.0003096684	0.0012386736	ENSG00000099917	MED15	0.0325347291747508
32	ENST00000263666	sorex_araneus	2.81389e-05	0.0001125556	ENSG00000121440	PDZRN3	0.00529681293809524
33	ENST00000264914	sorex_araneus	9.077e-07	3.6308e-06	ENSG00000113273	ARSB	0.000377698747368421
34	ENST00000264935	sorex_araneus	0.0005015112	0.0015045335	ENSG00000112877	CEP72	0.0380026896198083
35	ENST00000267406	sorex_araneus	0.0002191061	0.0008764244	ENSG00000139899	CBLN3	0.025281950807286
36	ENST00000268138	sorex_araneus	0.0001619565	0.0006478261	ENSG00000140534	TICRR	0.0201642249866142
37	ENST00000270115	sorex_araneus	5.1534e-06	2.06135e-05	ENSG00000161328	LRRC56	0.00143586194713656
38	ENST00000272224	sorex_araneus	1.56997e-05	6.27989e-05	ENSG00000143869	GDF7	0.00337199208
39	ENST00000282388	sorex_araneus	3.184e-07	1.2738e-06	ENSG00000152518	ZFP36L2	0.000163750614634146
40	ENST00000284694	sorex_araneus	4.5608e-06	1.82432e-05	ENSG00000154493	C10orf90	0.00131717570045662
41	ENST00000285199	sorex_araneus	0.0002385759	0.0007157277	ENSG00000154914	USP43	0.021805561449711
42	ENST00000285814	sorex_araneus	5.85297e-05	0.000234119	ENSG00000155438	NIFK	0.00920868066666667
43	ENST00000287020	sorex_araneus	4.17e-08	1.67e-07	ENSG00000156466	GDF6	3.14357619047619e-05
44	ENST00000288266	sorex_araneus	1.71536e-05	6.86146e-05	ENSG00000157500	APPL1	0.00356886202368421
45	ENST00000290130	sorex_araneus	4.11032e-05	0.0001644126	ENSG00000159055	MIS18A	0.00706438051956522
46	ENST00000290974	sorex_araneus	5.41e-07	2.1639e-06	ENSG00000159733	ZFYVE28	0.000249748808759124
47	ENST00000291582	sorex_araneus	9.50413e-05	0.0003801653	ENSG00000160224	AIRE	0.0132113708210989
48	ENST00000295049	sorex_araneus	0.000209904	0.0008396158	ENSG00000162944	RFTN2	0.0244044210102941
49	ENST00000296318	sorex_araneus	3.3346e-06	1.33386e-05	ENSG00000144730	IL17RD	0.0010655051959596
50	ENST00000299413	sorex_araneus	1.2156e-06	4.8623e-06	ENSG00000166326	TRIM44	0.00047167293006135
51	ENST00000299736	sorex_araneus	6.64703e-05	0.0002658811	ENSG00000166582	CENPV	0.0100818032450839
