target_id	length	eff_length	est_counts	tpm
NM_001001127.1	1904	1632.37	47	2.21538
NM_001001129.1	1479	1207.37	0	0
NM_001001131.1	843	571.366	13	1.75064
NM_001001189.1	1509	1237.37	353.954	22.0098
NM_001001192.1	1296	1024.37	218.421	16.4062
NM_001001193.1	502	230.896	3	0.999706
NM_001001194.1	514	242.825	8	2.53492
NM_001001195.2	2523	2251.37	5435	185.747
NM_001001201.1	1193	921.366	58.5955	4.89328
NM_001001203.1	948	676.366	20	2.27518
NM_001001291.2	754	482.421	0	0
NM_001001292.1	3971	3699.37	0	0
NM_001001293.1	2057	1785.37	156.731	6.75453
NM_001001294.1	1705	1433.37	14	0.751517
NM_001001296.5	478	207.115	11803	4384.79
NM_001001298.1	1544	1272.37	2	0.120944
NM_001001299.2	1624	1352.37	758	43.1264
NM_001001300.1	2054	1782.37	236.517	10.2102
NM_001001301.1	2162	1890.37	9.38738	0.382091
NM_001001302.1	5825	5553.37	6.75654	0.093613
NM_001001304.2	2221	1949.37	1950	76.9678
NM_001001305.3	2792	2520.37	5.29699	0.161709
NM_001001310.4	834	562.366	54	7.38827
NM_001001311.2	1592	1320.37	2761	160.894
NM_001001312.2	1725	1453.37	902	47.7529
NM_001001313.2	1991	1719.37	62	2.77454
NM_001001314.2	1855	1583.37	0	0
NM_001001315.2	713	441.421	50550	8811.22
NM_001001316.1	1102	830.366	154.025	14.2722
NM_001001328.2	1251	979.366	336.249	26.417
NM_001001337.1	1723	1451.37	0	0
NM_001001340.2	1393	1121.37	0	0
NM_001001341.1	1510	1238.37	0	0
NM_001001460.1	2089	1817.37	52.8046	2.23562
NM_001001461.1	1128	856.366	8	0.718785
NM_001001462.1	3002	2730.37	462.764	13.0409
NM_001001463.2	2538	2266.37	110.868	3.76395
NM_001001464.1	2100	1828.37	36.1716	1.5222
NM_001001465.1	3613	3341.37	479.36	11.0384
NM_001001466.1	3187	2915.37	18.3079	0.483185
NM_001001467.1	1842	1570.37	889	43.5581
NM_001001468.1	2215	1943.37	3007	119.055
