target_id	length	eff_length	est_counts	tpm
NM_001280678.1	552	306.823	244	59.1355
NM_001281925.1	634	379.251	87.6355	17.183
NM_001285876.1	834	567.981	21.6685	2.83689
NM_001286187.1	1110	842.171	222.022	19.6039
NM_001290408.1	830	564.038	2	0.263675
NM_001291139.1	4671	4403.17	3.5	0.0591084
NM_001291140.1	4671	4403.17	3.5	0.0591084
NM_001291520.1	4282	4014.17	1262.04	23.3788
NM_001293736.1	2063	1795.17	1.44988	0.0600584
NM_001301748.1	4136	3868.17	1976.85	38.0027
XM_004600099.2	4960	4692.17	7	0.110936
XM_004600101.2	2089	1821.17	155.637	6.35491
XM_004600104.2	2631	2363.17	201.01	6.32512
XM_004600106.2	1814	1546.17	7177	345.17
XM_004600110.2	5382	5114.17	29.0013	0.421687
XM_004600111.2	7707	7439.17	234.627	2.34531
XM_004600112.2	2780	2512.17	217	6.42329
XM_004600113.2	6730	6462.17	369	4.24615
XM_004600116.2	4584	4316.17	606	10.4405
XM_004600117.2	5632	5364.17	599	8.30369
XM_004600118.2	3291	3023.17	100	2.45971
XM_004600119.2	4040	3772.17	196.704	3.87766
XM_004600122.3	1286	1018.17	196	14.3147
XM_004600124.2	2122	1854.17	0	0
XM_004600126.2	8802	8534.17	0	0
XM_004600127.2	8714	8446.17	40.4053	0.355734
XM_004600128.2	1680	1412.17	0	0
XM_004600129.2	3277	3009.17	469.221	11.5952
XM_004600134.2	3956	3688.17	42	0.846809
XM_004600135.2	2791	2523.17	121.902	3.59261
XM_004600136.2	2646	2378.17	517	16.1657
XM_004600137.2	2111	1843.17	238.393	9.61779
XM_004600138.2	5001	4733.17	797.598	12.5308
XM_004600140.2	6744	6476.17	6.69669e-06	7.68934e-08
XM_004600145.3	7206	6938.17	190.119	2.03764
XM_004600146.2	4518	4250.17	93.491	1.63573
XM_004600147.2	3462	3194.17	29.7477	0.692535
XM_004600156.2	2914	2646.17	0	0
XM_004600157.2	8233	7965.17	0.325237	0.00303635
XM_004600158.2	8206	7938.17	18.6203	0.174427
XM_004600160.2	7984	7716.17	39.2619	0.37837
XM_004600162.2	7895	7627.17	212.793	2.07463
XM_004600163.2	822	556.318	0	0
XM_004600165.2	3870	3602.17	188.209	3.88528
XM_004600170.2	2808	2540.17	38	1.11242
XM_004600171.2	7949	7681.17	125.054	1.21065
XM_004600172.2	1592	1324.17	282	15.8362
XM_004600174.2	915	648.085	15145.5	1737.79
XM_004600175.2	5371	5103.17	246.874	3.59735
XM_004600178.3	4251	3983.17	220	4.10715
XM_004600179.2	4101	3833.17	817	15.8493
XM_004600180.2	4123	3855.17	43	0.829415
XM_004600189.2	589	339.614	581	127.215
